Gene1,Gene2,Aag_Edge_Weight
UQCRHL|440567,UQCRH|7388,5.7
KRTAP19-7|337974,KRTAP13-1|140258,5.4
KRTAP13-4|284827,KRTAP13-1|140258,5.3
KRTAP8-1|337879,KRTAP13-1|140258,5.3
ANXA2P2|304,ANXA2|302,5.1
EIF5AL1|143244,EIF5A|1984,5.0
C1QB|713,C1QA|712,4.9
C1QC|714,C1QB|713,4.9
KRTAP19-3|337970,KRTAP13-1|140258,4.9
KRTAP6-1|337966,KRTAP13-1|140258,4.9
KRTAP6-1|337966,KRTAP19-3|337970,4.9
KRTAP6-1|337966,KRTAP13-4|284827,4.8
KRTAP8-1|337879,KRTAP19-7|337974,4.8
KRTAP8-1|337879,KRTAP13-4|284827,4.7
KRTAP8-1|337879,KRTAP6-1|337966,4.7
KRTAP19-7|337974,KRTAP13-4|284827,4.5
KRTAP19-7|337974,KRTAP19-3|337970,4.5
CTAGE9|643854,CTAGE4|100128553,4.4
HTN3|3347,HTN1|3346,4.4
PSMD4|5710,PSMB4|5692,4.4
COL4A2|1284,COL4A1|1282,4.3
KRTAP26-1|388818,KRTAP13-1|140258,4.3
GRXCR1|389207,CABP2|51475,4.2
KRTAP19-3|337970,KRTAP13-4|284827,4.2
MFSD2B|388931,HMGA1|3159,4.2
HNRNPA1L2|144983,HNRNPA1|3178,4.1
KRTAP26-1|388818,KRTAP13-4|284827,4.1
NEUROD6|63974,GRXCR1|389207,4.1
POM121C|100101267,POM121|9883,4.1
DHRS4L2|317749,DHRS4|10901,3.9
KRTAP2-4|85294,KRTAP13-1|140258,3.9
KRTAP2-4|85294,KRTAP19-7|337974,3.9
KRTAP24-1|643803,KRTAP19-3|337970,3.9
MAP1LC3B2|643246,MAP1LC3B|81631,3.9
TCEAL6|158931,TCEAL3|85012,3.9
TMEM176B|28959,TMEM176A|55365,3.9
KRTAP6-1|337966,KRTAP2-4|85294,3.8
NEUROD6|63974,CABP2|51475,3.8
NSUN5P2|260294,NSUN5P1|155400,3.8
GRXCR1|389207,ADAD1|132612,3.7
KRTAP20-2|337976,KRTAP13-4|284827,3.7
KRTAP24-1|643803,KRTAP13-1|140258,3.7
KRTAP24-1|643803,KRTAP13-4|284827,3.7
KRTAP26-1|388818,KRTAP19-7|337974,3.7
KRTAP2-4|85294,KRTAP19-3|337970,3.6
KRTAP9-8|83901,KRTAP19-3|337970,3.6
PRAMEF6|440561,PRAMEF5|343068,3.6
RAF1|5894,MKRN2|23609,3.6
UNCX|340260,NEUROD6|63974,3.6
C1QC|714,C1QA|712,3.5
KRTAP20-1|337975,KRTAP13-4|284827,3.5
KRTAP20-1|337975,KRTAP19-3|337970,3.5
KRTAP20-2|337976,KRTAP13-1|140258,3.5
KRTAP6-1|337966,KRTAP26-1|388818,3.5
KRTAP8-1|337879,KRTAP24-1|643803,3.5
KRTAP8-1|337879,KRTAP26-1|388818,3.5
KRTAP9-8|83901,KRTAP13-4|284827,3.5
NUDT5|11164,CDC123|8872,3.5
RPS11|6205,RPL13A|23521,3.5
KRTAP2-4|85294,KRTAP13-4|284827,3.4
KRTAP20-1|337975,KRTAP13-1|140258,3.4
KRTAP26-1|388818,KRTAP19-3|337970,3.4
KRTAP8-1|337879,KRTAP4-3|85290,3.4
PSME2|5721,PSME1|5720,3.4
RPLP2|6181,RPL27A|6157,3.4
UNCX|340260,CABP2|51475,3.4
