Gene1,Gene2,Aag_Edge_Weight
ANXA2P2|304,ANXA2|302,5.5
TMEM176B|28959,TMEM176A|55365,5.3
C1QB|713,C1QA|712,4.7
GAGE2D|729408,GAGE2B|645037,4.7
UQCRHL|440567,UQCRH|7388,4.7
C1QC|714,C1QB|713,4.6
COL1A2|1278,COL1A1|1277,4.6
CTAGE9|643854,CTAGE4|100128553,4.6
C1S|716,C1R|715,4.5
HLA-DRA|3122,HLA-DMB|3109,4.3
COL4A2|1284,COL4A1|1282,4.2
TPI1|7167,GAPDH|2597,4.2
HLA-DRA|3122,HLA-DPA1|3113,4.1
HSPA1B|3304,HSPA1A|3303,4.1
KRT8|3856,KRT18|3875,4.1
RPL32|6161,RPL14|9045,4.1
GGTLC2|91227,GGT1|2678,4.0
PSME2|5721,PSME1|5720,4.0
RPL32|6161,RPL15|6138,4.0
ZNF468|90333,ZNF28|7576,4.0
COL3A1|1281,COL1A2|1278,3.9
MFSD2B|388931,HMGA1|3159,3.9
MSRB3|253827,CALD1|800,3.9
RPL7A|6130,RPL35|11224,3.9
HLA-DPB1|3115,HLA-DPA1|3113,3.8
MYL12B|103910,MYL12A|10627,3.8
COL5A1|1289,COL1A1|1277,3.7
COL5A1|1289,COL1A2|1278,3.7
MAEA|10296,CTBP1|1487,3.7
RPS8|6202,RPL5|6125,3.7
C1QC|714,C1QA|712,3.6
EIF5AL1|143244,EIF5A|1984,3.6
GIMAP8|155038,GIMAP6|474344,3.6
SSX1|6756,MT4|84560,3.6
COL3A1|1281,COL1A1|1277,3.5
COL5A2|1290,COL1A2|1278,3.5
KIF14|9928,ASPM|259266,3.5
PABPC3|5042,PABPC1|26986,3.5
PARP9|83666,DTX3L|151636,3.5
RPS5|6193,RPL18|6141,3.5
RPSA|3921,RPL14|9045,3.5
RPSA|3921,RPL32|6161,3.5
WNK1|65125,KDM5A|5927,3.5
GAGE2D|729408,GAGE1|2543,3.4
MRPL38|64978,GPS1|2873,3.4
POM121C|100101267,POM121|9883,3.4
RPS11|6205,RPL18|6141,3.4
STRA8|346673,MT4|84560,3.4
TACO1|51204,PSMC5|5705,3.4
TIMM50|92609,SUPT5H|6829,3.4
ZNF799|90576,ZNF443|10224,3.4
BTN3A3|10384,BTN3A1|11119,3.3
COL6A3|1293,COL3A1|1281,3.3
HLA-DRA|3122,HLA-DPB1|3115,3.3
KIF14|9928,CENPF|1063,3.3
LST1|7940,AIF1|199,3.3
LUM|4060,DCN|1634,3.3
MAGEA6|4105,MAGEA3|4102,3.3
NSUN5P2|260294,NSUN5P1|155400,3.3
NUDT5|11164,CDC123|8872,3.3
PAF1|54623,MED29|55588,3.3
PSMC5|5705,FTSJ3|117246,3.3
SP110|3431,SP100|6672,3.3
TAGLN|6876,ACTA2|59,3.3
TAGLN|6876,MYL9|10398,3.3
TMEM14C|51522,TMEM14B|81853,3.3
TYROBP|7305,FCER1G|2207,3.3
COL5A2|1290,COL5A1|1289,3.2
DHRS4L2|317749,DHRS4|10901,3.2
FCGR1B|2210,FCGR1A|2209,3.2
HLA-DPA1|3113,HLA-DMB|3109,3.2
MAP1LC3B2|643246,MAP1LC3B|81631,3.2
MRPL38|64978,MRPL12|6182,3.2
MRPL51|51258,EMG1|10436,3.2
RPL18|6141,RPL13A|23521,3.2
RPL7A|6130,RPL12|6136,3.2
RPS11|6205,RPL13A|23521,3.2
RPS16|6217,FBL|2091,3.2
SPARC|6678,COL5A2|1290,3.2
SUPT5H|6829,MED29|55588,3.2
TESK1|7016,GBA2|57704,3.2
TIE1|7075,CDH5|1003,3.2
ZNF84|7637,ZNF140|7699,3.2
CDH5|1003,CD34|947,3.1
GGT3P|2679,GGT1|2678,3.1
HELZ|9931,BPTF|2186,3.1
HSPE1|3336,HSPD1|3329,3.1
IFIT3|3437,IFIT2|3433,3.1
MRPL38|64978,DUS1L|64118,3.1
NDUFA1|4694,COX7B|1349,3.1
PLAA|9373,IFT74|80173,3.1
PSENEN|55851,COX6B1|1340,3.1
RAD54L|8438,KIF2C|11004,3.1
RGP1|9827,MSMP|692094,3.1
RPL15|6138,RPL14|9045,3.1
RPL28|6158,RPL18|6141,3.1
RPL32|6161,RPL29|6159,3.1
RPL35|11224,RPL12|6136,3.1
RPL36|25873,RPL18A|6142,3.1
RPL41|6171,NACA|4666,3.1
RPL8|6132,EEF1D|1936,3.1
RPLP2|6181,RPL27A|6157,3.1
RPS15A|6210,RPL30|6156,3.1
RPS19|6223,RPL18|6141,3.1
RPS9|6203,RPL13A|23521,3.1
RPS9|6203,RPL18|6141,3.1
RPS9|6203,RPS11|6205,3.1
SCAF1|58506,PRR12|57479,3.1
SPARC|6678,COL1A2|1278,3.1
SUPT5H|6829,C19orf47|126526,3.1
TAP1|6890,PSMB8|5696,3.1
TESK1|7016,CREB3|10488,3.1
TIMM50|92609,PSMC4|5704,3.1
XRCC6|2547,PHF5A|84844,3.1
ACOT2|10965,ACOT1|641371,3.0
C19orf47|126526,AKT2|208,3.0
CD3E|916,CD2|914,3.0
CENPF|1063,ASPM|259266,3.0
FAM72D|728833,FAM72B|653820,3.0
GAK|2580,CTBP1|1487,3.0
HLA-DMB|3109,HLA-DMA|3108,3.0
KIF20B|9585,KIF11|3832,3.0
MRPL12|6182,DUS1L|64118,3.0
MT4|84560,DSCR10|259234,3.0
MT4|84560,LCE2C|353140,3.0
PHB2|11331,MLF2|8079,3.0
PSMB9|5698,PSMB8|5696,3.0
PSMD4|5710,PSMB4|5692,3.0
RNASE4|6038,ANG|283,3.0
RPL23|9349,RPL19|6143,3.0
RPL35A|6165,RPL24|6152,3.0
RPS11|6205,RPL28|6158,3.0
RPS20|6224,RPL30|6156,3.0
SHARPIN|81858,FBXL6|26233,3.0
TCEAL6|158931,TCEAL3|85012,3.0
TOP3A|7156,SMCR8|140775,3.0
TYROBP|7305,SPI1|6688,3.0
UBE2N|7334,MRPL42|28977,3.0
UBL5|59286,NDUFA13|51079,3.0
USP5|8078,COPS7A|50813,3.0
VPS37A|137492,CNOT7|29883,3.0
ZNF324B|388569,ZNF324|25799,3.0
DOCK2|1794,CD53|963,2.9
EIF3H|8667,EIF3E|3646,2.9
GBA2|57704,CREB3|10488,2.9
HLA-DRA|3122,HLA-DMA|3108,2.9
HLA-E|3133,HLA-B|3106,2.9
IER3IP1|51124,C18orf32|497661,2.9
MAEA|10296,GAK|2580,2.9
MRPL20|55052,AURKAIP1|54998,2.9
NDUFB7|4713,GADD45GIP1|90480,2.9
NUSAP1|51203,BUB1B|701,2.9
OAS3|4940,OAS2|4939,2.9
PHB2|11331,MRPL51|51258,2.9
PSMD4|5710,MRPL9|65005,2.9
RAP1B|5908,CNOT2|4848,2.9
RPL18A|6142,EIF3G|8666,2.9
RPL37|6167,RPL27A|6157,2.9
RPS15A|6210,RPS13|6207,2.9
RPS19|6223,RPS11|6205,2.9
RPS9|6203,RPS5|6193,2.9
RPSA|3921,RPL15|6138,2.9
SASH3|54440,CD53|963,2.9
SMARCD2|6603,FTSJ3|117246,2.9
SSX3|10214,MT4|84560,2.9
SUPT5H|6829,AKT2|208,2.9
TMEM129|92305,CTBP1|1487,2.9
TMEM175|84286,CTBP1|1487,2.9
TNKS|8658,PCM1|5108,2.9
UQCRB|7381,COX6C|1345,2.9
ZNF71|58491,ZNF470|388566,2.9
COL5A1|1289,COL3A1|1281,2.8
COL6A2|1292,COL6A1|1291,2.8
GIMAP6|474344,GIMAP4|55303,2.8
GPS1|2873,ANAPC11|51529,2.8
HAVCR2|84868,CD86|942,2.8
HLA-DRA|3122,CD74|972,2.8
IL6ST|3572,HIPK3|10114,2.8
LSM1|27257,BRF2|55290,2.8
MAF1|84232,HSF1|3297,2.8
NAA15|80155,ABCE1|6059,2.8
NFKBIB|4793,MRPS12|6183,2.8
NOC2L|26155,ATAD3A|55210,2.8
PAF1|54623,NFKBIB|4793,2.8
POLR1C|9533,BYSL|705,2.8
PPM1D|8493,APPBP2|10513,2.8
PSMA6|5687,PSMA3|5684,2.8
RPL30|6156,EIF3H|8667,2.8
RPS13|6207,RPL27A|6157,2.8
RPS15|6209,RPL36|25873,2.8
RPS5|6193,RPS11|6205,2.8
SCAF1|58506,MED25|81857,2.8
SLC2A3|6515,SLC2A14|144195,2.8
TALDO1|6888,PSMD13|5719,2.8
TCP1|6950,MRPL18|29074,2.8
TELO2|9894,RHOT2|89941,2.8
TMEM50A|23585,CDC42|998,2.8
TMUB1|83590,FASTK|10922,2.8
TPM2|7169,MYL9|10398,2.8
TPT1|7178,RPL34|6164,2.8
TUBGCP6|85378,CHKB-CPT1B|386593,2.8
XPO7|23039,TNKS|8658,2.8
ZNF585A|199704,ZNF383|163087,2.8
APOL2|23780,APOL1|8542,2.7
BIRC6|57448,ASXL2|55252,2.7
CD37|951,BTK|695,2.7
CDH5|1003,CD93|22918,2.7
CPSF1|29894,ADCK5|203054,2.7
FBXL14|144699,ADIPOR2|79602,2.7
GADD45GIP1|90480,C19orf53|28974,2.7
GIMAP5|55340,GIMAP4|55303,2.7
GIMAP7|168537,GIMAP6|474344,2.7
GPS1|2873,DUS1L|64118,2.7
HLA-F|3134,HLA-B|3106,2.7
HNRNPA1L2|144983,HNRNPA1|3178,2.7
KIF11|3832,CEP55|55165,2.7
KIF2C|11004,CDC20|991,2.7
LSM2|57819,CSNK2B|1460,2.7
MRPL12|6182,ANAPC11|51529,2.7
MRPL51|51258,MLF2|8079,2.7
MRPS36|92259,COX7C|1350,2.7
MRPS7|51081,MRPL38|64978,2.7
MT4|84560,MAGEA10|4109,2.7
MVK|4598,MMAB|326625,2.7
NCAPH|23397,BUB1|699,2.7
NDUFA11|126328,CLPP|8192,2.7
NOL6|65083,NFX1|4799,2.7
PARP9|83666,PARP14|54625,2.7
PASD1|139135,MT4|84560,2.7
PCM1|5108,CNOT7|29883,2.7
PHB2|11331,EMG1|10436,2.7
QARS|5859,IMPDH2|3615,2.7
RHOT2|89941,E4F1|1877,2.7
RPL27A|6157,EIF3F|8665,2.7
