Gene1,Gene2,Aag_Edge_Weight
ANXA2P2|304,ANXA2|302,5.6
C1QC|714,C1QB|713,5.1
C1QB|713,C1QA|712,4.8
TCEAL6|158931,TCEAL3|85012,4.7
TAGLN|6876,ACTA2|59,4.6
COL4A2|1284,COL4A1|1282,4.5
UQCRHL|440567,UQCRH|7388,4.5
EIF5AL1|143244,EIF5A|1984,4.4
C1S|716,C1R|715,4.3
COL3A1|1281,COL1A2|1278,4.1
TAGLN|6876,MYL9|10398,4.1
CNN1|1264,ACTG2|72,4.0
GGT3P|2679,GGT1|2678,4.0
MYL9|10398,ACTA2|59,4.0
HSPA1B|3304,HSPA1A|3303,3.9
ACOT2|10965,ACOT1|641371,3.8
CLK4|57396,CLK1|1195,3.8
TPM2|7169,MYL9|10398,3.8
GGTLC2|91227,GGT1|2678,3.7
POM121C|100101267,POM121|9883,3.7
C1QC|714,C1QA|712,3.6
COL3A1|1281,COL1A1|1277,3.6
ELP3|55140,CCDC25|55246,3.6
MAF1|84232,HSF1|3297,3.6
MAP1LC3B2|643246,MAP1LC3B|81631,3.6
RNASE4|6038,ANG|283,3.6
RPL8|6132,EEF1D|1936,3.6
TOMM6|100188893,MEA1|4201,3.6
TPM2|7169,TAGLN|6876,3.6
DES|1674,CNN1|1264,3.5
HNRNPA1L2|144983,HNRNPA1|3178,3.5
KCNMB1|3779,ACTA2|59,3.5
MYL9|10398,CNN1|1264,3.5
RPL32|6161,RPL14|9045,3.5
TGFB1I1|7041,PDLIM7|9260,3.5
ZNF799|90576,ZNF443|10224,3.5
BRF2|55290,ASH2L|9070,3.4
PARP9|83666,DTX3L|151636,3.4
PPP2CB|5516,DCTN6|10671,3.4
RPL15|6138,RPL14|9045,3.4
RPL32|6161,RPL24|6152,3.4
TAGLN|6876,CNN1|1264,3.4
TJAP1|93643,AARS2|57505,3.4
VPS28|51160,SHARPIN|81858,3.4
CD3E|916,CD2|914,3.3
CTAGE9|643854,CTAGE4|100128553,3.3
INTS9|55756,ELP3|55140,3.3
MYLK|4638,MYH11|4629,3.3
PSMB1|5689,PDCD2|5134,3.3
SASH3|54440,CORO1A|11151,3.3
SEC63|11231,NUS1|116150,3.3
KRT8|3856,KRT18|3875,3.2
LSM1|27257,BRF2|55290,3.2
MYH11|4629,LMOD1|25802,3.2
MYL9|10398,LIMS2|55679,3.2
NSUN5P2|260294,NSUN5P1|155400,3.2
POLR1C|9533,BYSL|705,3.2
PPP2R5D|5528,MTCH1|23787,3.2
TAF9|6880,MRPS36|92259,3.2
TIE1|7075,ESAM|90952,3.2
TYROBP|7305,FCER1G|2207,3.2
UQCRB|7381,COX6C|1345,3.2
VPS37A|137492,CNOT7|29883,3.2
CDC40|51362,ATG5|9474,3.1
GIMAP7|168537,GIMAP4|55303,3.1
MLF2|8079,COPS7A|50813,3.1
MRPL51|51258,EMG1|10436,3.1
MTCH1|23787,C6orf89|221477,3.1
MTCH1|23787,HSP90AB1|3326,3.1
NUS1|116150,GOPC|57120,3.1
PPP2R5D|5528,KLHDC3|116138,3.1
PSME2|5721,PSME1|5720,3.1
PUF60|22827,EXOSC4|54512,3.1
RGPD4|285190,RGPD3|653489,3.1
RPL24|6152,RPL14|9045,3.1
RPL30|6156,EIF3H|8667,3.1
RPL32|6161,RPL29|6159,3.1
RPLP2|6181,RPL27A|6157,3.1
RSAD2|91543,CMPK2|129607,3.1
SHARPIN|81858,MAF1|84232,3.1
SPARC|6678,COL1A2|1278,3.1
TAGLN|6876,KCNMB1|3779,3.1
TGFB1I1|7041,MYL9|10398,3.1
TMEM68|137695,TCEA1|6917,3.1
TPM2|7169,ACTA2|59,3.1
ZNF613|79898,ZNF350|59348,3.1
COL5A1|1289,COL1A1|1277,3.0
COL5A1|1289,COL1A2|1278,3.0
ESAM|90952,CDH5|1003,3.0
LOXL2|4017,COL4A2|1284,3.0
MMRN2|79812,ESAM|90952,3.0
MRPL2|51069,KLHDC3|116138,3.0
NDUFA1|4694,COX7B|1349,3.0
RPL27A|6157,RPL19|6143,3.0
RPL32|6161,RPL27A|6157,3.0
RPLP0|6175,RPL6|6128,3.0
RPS18|6222,RPL32|6161,3.0
RPS2|6187,RPL12|6136,3.0
RPS2|6187,RPS11|6205,3.0
RPS7|6201,RPL32|6161,3.0
RPS8|6202,RPL32|6161,3.0
SYNCRIP|10492,SNX14|57231,3.0
TGFB1I1|7041,ACTA2|59,3.0
TIE1|7075,CDH5|1003,3.0
TIE1|7075,MMRN2|79812,3.0
TOMM6|100188893,MRPL2|51069,3.0
VTA1|51534,HBS1L|10767,3.0
YIPF3|25844,MTCH1|23787,3.0
DHRS4L2|317749,DHRS4|10901,2.9
ERLIN2|11160,ASH2L|9070,2.9
GIMAP8|155038,GIMAP4|55303,2.9
HBS1L|10767,BCLAF1|9774,2.9
HSF1|3297,GRINA|2907,2.9
IER3IP1|51124,C18orf32|497661,2.9
LEPROTL1|23484,DCTN6|10671,2.9
LMOD1|25802,ACTA2|59,2.9
LSM1|27257,ASH2L|9070,2.9
MDP1|145553,CHMP4A|29082,2.9
MMRN2|79812,CDH5|1003,2.9
MMRN2|79812,CYYR1|116159,2.9
MVK|4598,MMAB|326625,2.9
POLR1C|9533,MRPL14|64928,2.9
PPP2R5D|5528,C6orf89|221477,2.9
PPP2R5D|5528,HSP90AB1|3326,2.9
R3HCC1|203069,CHMP7|91782,2.9
RPL37|6167,RPL35|11224,2.9
RPN2|6185,PDIA6|10130,2.9
RPS11|6205,RPL37|6167,2.9
RPS19|6223,RPS16|6217,2.9
RPS29|6235,RPL41|6171,2.9
RPS3|6188,RPL24|6152,2.9
RPS5|6193,RPL10A|4736,2.9
RPS5|6193,RPL13A|23521,2.9
RPS8|6202,RPS6|6194,2.9
SPG7|6687,CDK10|8558,2.9
TCP1|6950,HSP90AB1|3326,2.9
TGFB1I1|7041,LIMS2|55679,2.9
TMEM176B|28959,TMEM176A|55365,2.9
TMEM63B|55362,PPP2R5D|5528,2.9
TOMM6|100188893,POLR1C|9533,2.9
TOMM6|100188893,SF3B5|83443,2.9
TPI1|7167,GAPDH|2597,2.9
UBR2|23304,PHF3|23469,2.9
UQCRB|7381,RPL30|6156,2.9
ESAM|90952,CLEC14A|161198,2.8
EVI2B|2124,EVI2A|2123,2.8
FUK|197258,COG4|25839,2.8
HDAC2|3066,CDC40|51362,2.8
KCNMB1|3779,CNN1|1264,2.8
KIF2A|3796,IPO11|51194,2.8
LIMS2|55679,ACTA2|59,2.8
NUDT5|11164,CDC123|8872,2.8
PCM1|5108,CNOT7|29883,2.8
PDIA6|10130,PDIA4|9601,2.8
PSMB1|5689,DYNLT1|6993,2.8
PSMB1|5689,MRPL14|64928,2.8
PUF60|22827,COMMD5|28991,2.8
RANBP10|57610,EDC4|23644,2.8
RPL23|9349,RPL19|6143,2.8
RPL35A|6165,RPL32|6161,2.8
RPL37|6167,RPL14|9045,2.8
RPL37|6167,RPL32|6161,2.8
RPL7|6129,EIF3H|8667,2.8
RPS13|6207,RPL27A|6157,2.8
RPS13|6207,RPL32|6161,2.8
RPS29|6235,RPS15A|6210,2.8
RPS3|6188,RPS18|6222,2.8
RPS3A|6189,RPL10A|4736,2.8
RPS6|6194,NACA|4666,2.8
RPS6|6194,RPL14|9045,2.8
RPS6|6194,RPL15|6138,2.8
RPS6|6194,RPS4X|6191,2.8
RPS7|6201,RPL37|6167,2.8
RPS7|6201,RPS6|6194,2.8
RPS8|6202,RPL12|6136,2.8
RPS8|6202,RPS4X|6191,2.8
SEC63|11231,CD164|8763,2.8
SERPING1|710,C1R|715,2.8
SERPING1|710,C1S|716,2.8
SHARPIN|81858,HSF1|3297,2.8
SLC25A11|8402,PSMB6|5694,2.8
SLC4A5|57835,MTHFD2|10797,2.8
SNX3|8724,SEC63|11231,2.8
SPG7|6687,CHMP1A|5119,2.8
SRP9|6726,H3F3A|3020,2.8
SYNCRIP|10492,MAP3K7|6885,2.8
TPX2|22974,TOP2A|7153,2.8
TRMT1|55621,QTRT1|81890,2.8
UBR2|23304,BRPF3|27154,2.8
USP5|8078,TPI1|7167,2.8
ZNF12|7559,RBAK|57786,2.8
ZNF468|90333,ZNF28|7576,2.8
ZNF654|55279,CGGBP1|8545,2.8
ATXN1L|342371,AP1G1|164,2.7
C6orf89|221477,AARS2|57505,2.7
C6orf89|221477,BTBD9|114781,2.7
CD3E|916,CCL5|6352,2.7
CD96|10225,CD3E|916,2.7
CEMP1|752014,AMDHD2|51005,2.7
CGGBP1|8545,C3orf38|285237,2.7
COL5A1|1289,COL3A1|1281,2.7
EDC4|23644,ACD|65057,2.7
GIMAP8|155038,GIMAP6|474344,2.7
GRINA|2907,CYC1|1537,2.7
HLA-DPB1|3115,HLA-DPA1|3113,2.7
HLA-H|3136,HLA-A|3105,2.7
IFIT3|3437,IFIT2|3433,2.7
JPH2|57158,ACTA2|59,2.7
MED23|9439,BCLAF1|9774,2.7
MED4|29079,ESD|2098,2.7
MRPL14|64928,KLHDC3|116138,2.7
MRPL14|64928,MAD2L1BP|9587,2.7
MRPL2|51069,MEA1|4201,2.7
MRVI1|10335,LMOD1|25802,2.7
MSRB3|253827,MRVI1|10335,2.7
NDUFA9|4704,MRPL51|51258,2.7
NEXN|91624,MSRB3|253827,2.7
NUDT15|55270,MED4|29079,2.7
PABPC3|5042,PABPC1|26986,2.7
PDIA6|10130,HSP90B1|7184,2.7
PHF10|55274,BCLAF1|9774,2.7
PHIP|55023,BCLAF1|9774,2.7
PIBF1|10464,DIS3|22894,2.7
PLVAP|83483,ESAM|90952,2.7
PPAT|5471,PAICS|10606,2.7
PRB4|5545,HTN3|3347,2.7
PRMT7|54496,EDC4|23644,2.7
PUF60|22827,GPAA1|8733,2.7
QRSL1|55278,ATG5|9474,2.7
RNF8|9025,MTCH1|23787,2.7
RPL10A|4736,RPL10|6134,2.7
RPL27A|6157,RPL11|6135,2.7
RPL29|6159,RPL14|9045,2.7
RPL3|6122,EIF3D|8664,2.7
RPL32|6161,RPL15|6138,2.7
RPL38|6169,RPL31|6160,2.7
RPL38|6169,RPL37|6167,2.7
RPL7A|6130,RPL12|6136,2.7
RPLP2|6181,RPL32|6161,2.7
RPS11|6205,RPL13A|23521,2.7
RPS11|6205,RPL19|6143,2.7
RPS11|6205,RPL24|6152,2.7
RPS11|6205,RPL32|6161,2.7
RPS2|6187,RPL32|6161,2.7
RPS3|6188,RPS10|6204,2.7
RPS4X|6191,RPS14|6208,2.7
RPS6|6194,RPL32|6161,2.7
RPS6|6194,RPL5|6125,2.7
RPS6|6194,RPS18|6222,2.7
RPS8|6202,RPL10|6134,2.7
RPS8|6202,RPL3|6122,2.7
RPS8|6202,RPS18|6222,2.7
SORBS1|10580,MSRB3|253827,2.7
SPARC|6678,COL3A1|1281,2.7
TAP1|6890,PSMB9|5698,2.7
TBP|6908,PHF10|55274,2.7
TCP1|6950,MRPL18|29074,2.7
TJAP1|93643,ABCC10|89845,2.7
TNS1|7145,FLNA|2316,2.7
TOMM6|100188893,KLHDC3|116138,2.7
TOR1B|27348,TOR1A|1861,2.7
TPX2|22974,NUSAP1|51203,2.7
TRIM23|373,SGTB|54557,2.7
UFM1|51569,COG6|57511,2.7
XPO5|57510,HSP90AB1|3326,2.7
YIPF3|25844,C6orf89|221477,2.7
YIPF3|25844,TAF8|129685,2.7
YIPF3|25844,TJAP1|93643,2.7
ZFAND3|60685,MTCH1|23787,2.7
ZNF250|58500,ZNF16|7564,2.7
ZNF84|7637,ZNF605|100289635,2.7
BRPF3|27154,ARID1B|57492,2.6
CAV2|858,CAV1|857,2.6
CDC40|51362,CCNC|892,2.6
CNN1|1264,ACTA2|59,2.6
COL6A2|1292,COL6A1|1291,2.6
EIF3H|8667,EIF3E|3646,2.6
ENY2|56943,COX6C|1345,2.6
EVI2B|2124,CD53|963,2.6
EXOSC4|54512,COMMD5|28991,2.6
FAM192A|80011,COQ9|57017,2.6
FOXK1|221937,FBXL18|80028,2.6
GRINA|2907,COMMD5|28991,2.6
HINT3|135114,HDDC2|51020,2.6
HSF1|3297,COMMD5|28991,2.6
HSPB7|27129,FHL1|2273,2.6
INTS9|55756,CCDC25|55246,2.6
LEPROTL1|23484,GTF2E2|2961,2.6
LILRB4|11006,CD68|968,2.6
LMOD1|25802,JPH2|57158,2.6
LMOD1|25802,KCNMB1|3779,2.6
LOXL2|4017,COL4A1|1282,2.6
LST1|7940,AIF1|199,2.6
MEA1|4201,KLHDC3|116138,2.6
MED4|29079,GTF2F2|2963,2.6
MIER3|166968,GPBP1|65056,2.6
MMRN2|79812,CLEC14A|161198,2.6
MRPL14|64928,MEA1|4201,2.6
MRPL18|29074,GTF2H5|404672,2.6
MRPL2|51069,KLC4|89953,2.6
MRPL55|128308,GUK1|2987,2.6
MRPL55|128308,JMJD4|65094,2.6
MTCH1|23787,KLHDC3|116138,2.6
MYH11|4629,JPH2|57158,2.6
MYH11|4629,KCNMB1|3779,2.6
MYL9|10398,KCNMB1|3779,2.6
NDUFB7|4713,GADD45GIP1|90480,2.6
NDUFB9|4715,COX6C|1345,2.6
NEXN|91624,FHL1|2273,2.6
PCM1|5108,MTUS1|57509,2.6
PDIA6|10130,HSPA5|3309,2.6
POLR1C|9533,MAD2L1BP|9587,2.6
PPIB|5479,PDIA3|2923,2.6
PPP2R5D|5528,MRPL2|51069,2.6
PSMB6|5694,PFN1|5216,2.6
PSMB9|5698,PSMB8|5696,2.6
QRSL1|55278,CDC40|51362,2.6
RPL13A|23521,EEF1G|1937,2.6
RPL32|6161,RPL12|6136,2.6
RPL38|6169,RPL11|6135,2.6
RPL4|6124,RPL19|6143,2.6
RPS10|6204,RPL38|6169,2.6
RPS11|6205,RPL18A|6142,2.6
RPS15A|6210,RPL38|6169,2.6
RPS16|6217,RPS11|6205,2.6
RPS21|6227,RPS16|6217,2.6
RPS29|6235,RPL31|6160,2.6
RPS4X|6191,RPL37|6167,2.6
RPS6|6194,RPL37|6167,2.6
RPS8|6202,RPL11|6135,2.6
RPS8|6202,RPS11|6205,2.6
RPS9|6203,RPL36|25873,2.6
RTN4IP1|84816,C6orf203|51250,2.6
SEC63|11231,ATG5|9474,2.6
SEC63|11231,CDC40|51362,2.6
SHARPIN|81858,CYHR1|50626,2.6
SHARPIN|81858,DGAT1|8694,2.6
SNX14|57231,RARS2|57038,2.6
SORBS1|10580,LMOD1|25802,2.6
SYNPO2|171024,MYH11|4629,2.6
SYNPO2|171024,SORBS1|10580,2.6
TAF9|6880,CDK7|1022,2.6
TAGLN|6876,ACTG2|72,2.6
TAGLN|6876,DACT3|147906,2.6
TAGLN|6876,PDLIM7|9260,2.6
TAP1|6890,PSMB8|5696,2.6
TATDN1|83940,EIF3H|8667,2.6
TCF25|22980,ACSF3|197322,2.6
TERF2IP|54386,GABARAPL2|11345,2.6
TMEM63B|55362,AARS2|57505,2.6
TMEM63B|55362,C6orf89|221477,2.6
TNKS|8658,ERI1|90459,2.6
TOMM6|100188893,MRPL14|64928,2.6
TOMM6|100188893,MRPS10|55173,2.6
TPM2|7169,CNN1|1264,2.6
TRAPPC2L|51693,COX4I1|1327,2.6
TRIM25|7706,CYB561D1|284613,2.6
TST|7263,MPST|4357,2.6
TYROBP|7305,C1QA|712,2.6
TYROBP|7305,C1QB|713,2.6
TYROBP|7305,SLC15A3|51296,2.6
TYROBP|7305,SPI1|6688,2.6
UBE2W|55284,FAM91A1|157769,2.6
UBE2W|55284,RRM2B|50484,2.6
UBR2|23304,ARID1B|57492,2.6
UTY|7404,DDX3Y|8653,2.6
VDAC3|7419,GOLGA7|51125,2.6
VPS28|51160,CYHR1|50626,2.6
VPS28|51160,HSF1|3297,2.6
VTA1|51534,PPIL4|85313,2.6
WBP4|11193,NAA16|79612,2.6
YIPF3|25844,PPP2R5D|5528,2.6
YIPF3|25844,TOMM6|100188893,2.6
ZNF451|26036,BCLAF1|9774,2.6
ZNF706|51123,POLR2K|5440,2.6
ZNF707|286075,SCRIB|23513,2.6
ZNF84|7637,ZNF140|7699,2.6
ABCC10|89845,AARS2|57505,2.5
COQ9|57017,CIAPIN1|57019,2.5
DDTL|100037417,DDT|1652,2.5
EIF3L|51386,EIF3D|8664,2.5
