Gene1,Gene2,Aag_Edge_Weight
KRTAP3-3|85293,KRTAP3-1|83896,5.9
ANXA2P2|304,ANXA2|302,5.8
KRTAP3-3|85293,KRTAP1-3|81850,5.2
POM121C|100101267,POM121|9883,5.1
TCEAL6|158931,TCEAL3|85012,5.1
KRTAP4-9|100132386,KRTAP3-1|83896,5.0
UQCRHL|440567,UQCRH|7388,5.0
PRAMEF9|343070,PRAMEF13|400736,4.9
KRTAP4-9|100132386,KRTAP4-8|728224,4.8
MFSD2B|388931,HMGA1|3159,4.8
KRTAP4-4|84616,KRTAP3-1|83896,4.7
KRTAP4-9|100132386,KRTAP3-3|85293,4.7
KRTAP9-9|81870,KRTAP3-1|83896,4.7
KRTAP9-9|81870,KRTAP4-3|85290,4.7
KRTAP4-2|85291,KRTAP2-4|85294,4.4
KRTAP4-3|85290,KRTAP3-3|85293,4.4
C1QC|714,C1QA|712,4.3
KRT35|3886,FABP9|646480,4.3
KRTAP12-2|353323,KRTAP10-3|386682,4.3
KRTAP4-4|84616,KRTAP3-3|85293,4.3
KRTAP8-1|337879,KRTAP4-2|85291,4.3
KRTAP9-9|81870,KRTAP4-4|84616,4.3
MAP1LC3B2|643246,MAP1LC3B|81631,4.3
MBD3L5|284428,MBD3L2|125997,4.3
HNRNPA1L2|144983,HNRNPA1|3178,4.2
KRTAP4-8|728224,KRTAP3-1|83896,4.2
KRTAP9-9|81870,KRTAP9-8|83901,4.2
C1QC|714,C1QB|713,4.1
EIF5AL1|143244,EIF5A|1984,4.1
KRTAP3-1|83896,KRTAP2-2|728279,4.1
KRTAP4-3|85290,KRTAP3-1|83896,4.1
KRTAP4-8|728224,KRTAP3-3|85293,4.1
TMEM176B|28959,TMEM176A|55365,4.1
HSPA1B|3304,HSPA1A|3303,4.0
KRTAP4-5|85289,KRTAP3-1|83896,4.0
KRTAP4-8|728224,KRTAP1-3|81850,4.0
KRTAP4-8|728224,KRTAP4-3|85290,4.0
KRTAP9-9|81870,KRTAP4-2|85291,4.0
ZNF468|90333,ZNF28|7576,4.0
ACOT2|10965,ACOT1|641371,3.9
C1QB|713,C1QA|712,3.9
COL5A1|1289,COL1A1|1277,3.9
KRT35|3886,KRT28|162605,3.9
KRTAP4-11|653240,KRTAP3-1|83896,3.9
KRTAP4-7|100132476,KRTAP3-3|85293,3.9
KRTAP9-9|81870,KRTAP1-3|81850,3.9
KRTAP9-9|81870,KRTAP4-8|728224,3.9
MBD3L2|125997,LEUTX|342900,3.9
RPL32|6161,RPL14|9045,3.9
DHRS4L2|317749,DHRS4|10901,3.8
ESAM|90952,CDH5|1003,3.8
KRTAP9-8|83901,KRTAP2-4|85294,3.8
PARP9|83666,DTX3L|151636,3.8
RPL32|6161,RPL15|6138,3.8
SLC17A2|10246,PRODH2|58510,3.8
SLC2A3|6515,SLC2A14|144195,3.8
KRTAP12-1|353332,KRTAP10-4|386672,3.7
KRTAP9-8|83901,KRTAP1-3|81850,3.7
PRAMEF5|343068,MBD3L2|125997,3.7
RPL15|6138,RPL14|9045,3.7
TSPY2|64591,TSPY1|7258,3.7
UGT1A3|54659,CFHR5|81494,3.7
AGAP6|414189,AGAP4|119016,3.6
ESAM|90952,CD34|947,3.6
KRTAP3-1|83896,KRTAP1-3|81850,3.6
KRTAP3-3|85293,KRTAP2-2|728279,3.6
KRTAP4-4|84616,KRTAP1-3|81850,3.6
KRTAP4-5|85289,KRTAP3-3|85293,3.6
KRTAP4-7|100132476,KRTAP4-3|85290,3.6
KRTAP4-9|100132386,KRTAP1-3|81850,3.6
KRTAP4-9|100132386,KRTAP2-2|728279,3.6
KRTAP4-9|100132386,KRTAP4-3|85290,3.6
KRTAP9-8|83901,KRTAP4-4|84616,3.6
LCE2C|353140,LCE2B|26239,3.6
PRAMEF10|343071,LEUTX|342900,3.6
SERPINA7|6906,C8A|731,3.6
C1S|716,C1R|715,3.5
CD3E|916,CD2|914,3.5
KIF2C|11004,CDCA8|55143,3.5
KRTAP10-7|386675,KRTAP10-4|386672,3.5
KRTAP10-7|386675,KRTAP10-5|386680,3.5
