Gene1,Gene2,Aag_Edge_Weight
C1QC|714,C1QB|713,4.7
C1QB|713,C1QA|712,4.5
COL1A2|1278,COL1A1|1277,4.4
COL3A1|1281,COL1A2|1278,4.4
COL4A2|1284,COL4A1|1282,4.3
TMEM176B|28959,TMEM176A|55365,4.1
C1QC|714,C1QA|712,4.0
ANXA2P2|304,ANXA2|302,3.9
CDH5|1003,CD93|22918,3.7
TAGLN|6876,ACTA2|59,3.7
KRIT1|889,ANKIB1|54467,3.6
MAP1LC3B2|643246,MAP1LC3B|81631,3.6
NUDT5|11164,CDC123|8872,3.6
TSPY4|728395,TSPY3|728137,3.5
C1S|716,C1R|715,3.4
CDH5|1003,CD34|947,3.4
COL5A1|1289,COL1A2|1278,3.4
HLA-DRA|3122,CD74|972,3.4
KRIT1|889,GATAD1|57798,3.4
MRPS18A|55168,MAD2L1BP|9587,3.4
MYL12B|103910,MYL12A|10627,3.4
RAD1|5810,BRIX1|55299,3.4
FAM72D|728833,FAM72B|653820,3.3
GIMAP8|155038,GIMAP6|474344,3.3
MBD1|4152,CXXC1|30827,3.3
PARP9|83666,DTX3L|151636,3.3
POM121C|100101267,POM121|9883,3.3
TMEM14C|51522,TMEM14B|81853,3.3
COL5A2|1290,COL1A2|1278,3.2
EIF5AL1|143244,EIF4A1|1973,3.2
VPS37A|137492,CNOT7|29883,3.2
COL5A1|1289,COL1A1|1277,3.1
KRT8|3856,KRT18|3875,3.1
PDAP1|11333,BUD31|8896,3.1
PUF60|22827,HSF1|3297,3.1
CTAGE9|643854,CTAGE4|100128553,3.0
CXorf36|79742,CDH5|1003,3.0
NAA15|80155,ABCE1|6059,3.0
NSUN5P2|260294,NSUN5P1|155400,3.0
PSMF1|9491,NSFL1C|55968,3.0
ROBO4|54538,CDH5|1003,3.0
SRCAP|10847,SETD1A|9739,3.0
UBA2|10054,LSM14A|26065,3.0
UBE2J2|118424,AURKAIP1|54998,3.0
VPS72|6944,MRPL9|65005,3.0
ZNF746|155061,ZNF282|8427,3.0
CLEC14A|161198,CD34|947,2.9
