Gene1,Gene2,Aag_Edge_Weight
SEMG2|6407,SEMG1|6406,4.8
C1QB|713,C1QA|712,4.7
ANXA2P2|304,ANXA2|302,4.5
TMEM176B|28959,TMEM176A|55365,4.5
COL4A2|1284,COL4A1|1282,4.3
PNLIP|5406,CELA3A|10136,4.2
PNLIP|5406,CELA2A|63036,4.1
SYCN|342898,PNLIP|5406,4.1
CTAGE9|643854,CTAGE4|100128553,4.0
RPL3|6122,EIF3L|51386,3.9
C1QC|714,C1QB|713,3.8
CELA3A|10136,CELA2A|63036,3.7
RPL3|6122,EIF3D|8664,3.7
CLK4|57396,CLK1|1195,3.6
CLPS|1208,CELA3A|10136,3.6
MANF|7873,HSPA5|3309,3.6
DUOXA1|90527,DUOX1|53905,3.5
HSPA1B|3304,HSPA1A|3303,3.5
MANF|7873,DNAJB11|51726,3.5
RNASE4|6038,ANG|283,3.5
RPL3L|6123,PPP1R3A|5506,3.5
SYCN|342898,CELA2A|63036,3.5
RAD1|5810,DNAJC21|134218,3.4
RPL32|6161,RPL11|6135,3.4
RPS11|6205,RPL32|6161,3.4
UQCRHL|440567,UQCRH|7388,3.4
CLPS|1208,CELA2A|63036,3.3
EIF3L|51386,EIF3D|8664,3.3
GIMAP8|155038,GIMAP6|474344,3.3
PNLIP|5406,CELA3B|23436,3.3
PNLIP|5406,INS|3630,3.3
RPL32|6161,RPL14|9045,3.3
RPL7A|6130,RPL12|6136,3.3
SYCN|342898,CELA3A|10136,3.3
HLA-DMA|3108,CD74|972,3.2
IFIT3|3437,IFIT2|3433,3.2
KRT8|3856,KRT18|3875,3.2
RPS12|6206,RPL10A|4736,3.2
RPS20|6224,RPL32|6161,3.2
UQCR10|29796,NDUFA6|4700,3.2
EVI2B|2124,CD53|963,3.1
HLA-DRA|3122,HLA-DPB1|3115,3.1
NDUFB1|4707,COX6C|1345,3.1
PDIA6|10130,HSP90B1|7184,3.1
PES1|23481,EIF3D|8664,3.1
PPP1R3A|5506,CSRP3|8048,3.1
PPP1R3A|5506,MYL1|4632,3.1
RPL17|6139,RPL10A|4736,3.1
RPL28|6158,RPL18|6141,3.1
RPL29|6159,RPL18|6141,3.1
RPL32|6161,RPL15|6138,3.1
RPLP0|6175,RPL13A|23521,3.1
RPS29|6235,RPL35A|6165,3.1
TOP2A|7153,NUSAP1|51203,3.1
C1QC|714,C1QA|712,3.0
GIMAP7|168537,GIMAP6|474344,3.0
HLA-DRA|3122,CD74|972,3.0
KDM6A|7403,DDX3X|1654,3.0
POM121C|100101267,POM121|9883,3.0
RGL3|57139,EPOR|2057,3.0
RPL32|6161,RPL27A|6157,3.0
RPL32|6161,RPL30|6156,3.0
RPL35|11224,RPL24|6152,3.0
RPL38|6169,RPL37|6167,3.0
RPL3L|6123,DHRS7C|201140,3.0
RPL5|6125,RPL15|6138,3.0
RPL5|6125,RPL22|6146,3.0
RPS24|6229,RPL32|6161,3.0
RPS27A|6233,RPS12|6206,3.0
RPS6|6194,RPL5|6125,3.0
RPS7|6201,RPS6|6194,3.0
RPS8|6202,RPL32|6161,3.0
SDF2L1|23753,CRELD2|79174,3.0
SYCN|342898,CLPS|1208,3.0
DRG1|4733,ADSL|158,2.9
HLA-DPB1|3115,HLA-DPA1|3113,2.9
HSCB|150274,DRG1|4733,2.9
HSPA5|3309,HSP90B1|7184,2.9
NDUFA1|4694,COX7B|1349,2.9
NSUN5P2|260294,NSUN5P1|155400,2.9
PDIA3|2923,CALR|811,2.9
PDIA6|10130,HSPA5|3309,2.9
RHOJ|57381,ERG|2078,2.9
RPL30|6156,RPL11|6135,2.9
RPL32|6161,RPL29|6159,2.9
RPL35|11224,RPL12|6136,2.9
RPL35|11224,RPL18|6141,2.9
RPL37A|6168,RPL32|6161,2.9
RPS11|6205,RPL27A|6157,2.9
RPS11|6205,RPS10|6204,2.9
RPS20|6224,RPL14|9045,2.9
RPS3A|6189,RPL10A|4736,2.9
RSAD2|91543,CMPK2|129607,2.9
SCAND1|51282,RNF126|55658,2.9
SNRPD3|6634,RBX1|9978,2.9
UQCR10|29796,TXN2|25828,2.9
ZNF628|89887,SCAF1|58506,2.9
ZNF799|90576,ZNF443|10224,2.9
CAV2|858,CAV1|857,2.8
COX7C|1350,COX6C|1345,2.8
DECR1|1666,COX7B|1349,2.8
GIMAP8|155038,GIMAP4|55303,2.8
GIMAP8|155038,GIMAP5|55340,2.8
IFI44L|10964,IFI44|10561,2.8
INS|3630,CELA3A|10136,2.8
NDUFB1|4707,NDUFA1|4694,2.8
NDUFB4|4710,COX7B|1349,2.8
PANK4|55229,KATNB1|10300,2.8
PDIA3|2923,HSP90B1|7184,2.8
RANBP10|57610,GFOD2|81577,2.8
RPL36|25873,RPL32|6161,2.8
RPL38|6169,RPL32|6161,2.8
RPS15|6209,RPL13|6137,2.8
RPS20|6224,RPL37|6167,2.8
RPS21|6227,RPS14|6208,2.8
RPS23|6228,RPS21|6227,2.8
RPS25|6230,RPL30|6156,2.8
RPS3|6188,EEF1G|1937,2.8
RPS3|6188,RPL13A|23521,2.8
RPS3|6188,RPS10|6204,2.8
RPS3A|6189,RPL17|6139,2.8
RPS3A|6189,RPL5|6125,2.8
RPS6|6194,RPL12|6136,2.8
RPS8|6202,RPL8|6132,2.8
SNRPG|6637,OST4|100128731,2.8
TAP1|6890,HLA-F|3134,2.8
TAP1|6890,PSMB9|5698,2.8
TCEAL4|79921,TCEAL3|85012,2.8
TFIP11|24144,SRRD|402055,2.8
TRAPPC5|126003,GADD45GIP1|90480,2.8
TST|7263,MPST|4357,2.8
TXN2|25828,DRG1|4733,2.8
UQCR10|29796,RBX1|9978,2.8
UQCR10|29796,SNRPD3|6634,2.8
VAMP8|8673,RNF181|51255,2.8
ZFX|7543,KDM6A|7403,2.8
CD3E|916,CD2|914,2.7
CELA3B|23436,CELA2A|63036,2.7
CELA3B|23436,CELA3A|10136,2.7
CLPS|1208,CELA3B|23436,2.7
COL6A2|1292,COL6A1|1291,2.7
GIMAP6|474344,GIMAP4|55303,2.7
GIMAP7|168537,GIMAP4|55303,2.7
HLA-DRA|3122,HLA-DPA1|3113,2.7
HSP90B1|7184,CALR|811,2.7
INS|3630,CLPS|1208,2.7
MTMR3|8897,EP300|2033,2.7
NDUFA1|4694,COX6C|1345,2.7
NDUFA12|55967,NDUFA1|4694,2.7
PCDH12|51294,BCL6B|255877,2.7
PDIA4|9601,HSP90B1|7184,2.7
PDIA6|10130,PDIA4|9601,2.7
PTPRC|5788,IKZF1|10320,2.7
RPL24|6152,RPL14|9045,2.7
RPL27A|6157,FAU|2197,2.7
RPL29|6159,RPL13A|23521,2.7
RPL29|6159,RPL14|9045,2.7
RPL29|6159,RPL27A|6157,2.7
RPL35A|6165,RPL30|6156,2.7
RPL37|6167,RPL32|6161,2.7
RPL5|6125,RPL35A|6165,2.7
RPL7A|6130,RPL35|11224,2.7
RPS11|6205,RPL11|6135,2.7
RPS15A|6210,RPL35A|6165,2.7
RPS19|6223,RPL32|6161,2.7
RPS19|6223,RPS16|6217,2.7
RPS24|6229,RPL11|6135,2.7
RPS24|6229,RPS20|6224,2.7
RPS3A|6189,RPS12|6206,2.7
RPS6|6194,RPL34|6164,2.7
