Gene1,Gene2,Aag_Edge_Weight
UQCRHL|440567,UQCRH|7388,6.0
C1QB|713,C1QA|712,4.6
EIF5AL1|143244,EIF5A|1984,4.6
KRTAP13-2|337959,KRTAP13-1|140258,4.6
OR7G3|390883,OR7G1|125962,4.6
KRTAP8-1|337879,KRTAP13-2|337959,4.2
KRTAP8-1|337879,KRTAP13-1|140258,4.0
ANXA2P2|304,ANXA2|302,3.7
ACOT2|10965,ACOT1|641371,3.6
KRTAP9-2|83899,KRTAP4-12|83755,3.6
RPL32|6161,RPL15|6138,3.6
RPLP2|6181,RPL27A|6157,3.6
PSMD4|5710,PSMB4|5692,3.5
SNX22|79856,PPIB|5479,3.5
C1QC|714,C1QB|713,3.4
COL4A2|1284,COL4A1|1282,3.4
KRT8|3856,KRT18|3875,3.4
PSME2|5721,PSME1|5720,3.4
RPL23|9349,RPL19|6143,3.4
GGTLC2|91227,GGT1|2678,3.3
MFSD2B|388931,HMGA1|3159,3.3
NSUN5P2|260294,NSUN5P1|155400,3.3
CTAGE9|643854,CTAGE4|100128553,3.2
FAM72D|728833,FAM72B|653820,3.2
MAP1LC3B2|643246,MAP1LC3B|81631,3.2
POM121C|100101267,POM121|9883,3.2
RPL32|6161,RPL14|9045,3.2
RPS11|6205,RPL13A|23521,3.2
UBA1|7317,CDK16|5127,3.2
AGAP6|414189,AGAP4|119016,3.1
C1QC|714,C1QA|712,3.1
DDX49|54555,COPE|11316,3.1
DHRS4L2|317749,DHRS4|10901,3.1
MYL12B|103910,MYL12A|10627,3.1
OR8I2|120586,OR12D3|81797,3.1
TIMM50|92609,SUPT5H|6829,3.1
TMEM176B|28959,TMEM176A|55365,3.1
MBD3L2|125997,LEUTX|342900,3.0
RNASEK|440400,GABARAP|11337,3.0
SUPT5H|6829,PAF1|54623,2.9
TYK2|7297,CDC37|11140,2.9
TYK2|7297,RAVER1|125950,2.9
ZNF566|84924,ZNF260|339324,2.9
EPS15L1|58513,CHERP|10523,2.8
FCGR1B|2210,FCGR1A|2209,2.8
KRTAP9-8|83901,KRTAP9-2|83899,2.8
LEPROTL1|23484,GTF2E2|2961,2.8
MBD3L5|284428,MBD3L2|125997,2.8
SCNM1|79005,PSMD4|5710,2.8
SUPT5H|6829,MED29|55588,2.8
TACO1|51204,PSMC5|5705,2.8
TIMM50|92609,PAF1|54623,2.8
ZNF799|90576,ZNF443|10224,2.8
