Gene1,Gene2,Aag_Edge_Weight
ANXA2P2|304,ANXA2|302,5.6
UQCRHL|440567,UQCRH|7388,4.6
C1QC|714,C1QB|713,4.5
EIF5AL1|143244,EIF5A|1984,4.5
C1QB|713,C1QA|712,4.4
LCE6A|448835,LCE2B|26239,4.3
TMEM176B|28959,TMEM176A|55365,4.3
LCE2C|353140,LCE2B|26239,4.2
COL1A2|1278,COL1A1|1277,4.1
CTAGE9|643854,CTAGE4|100128553,4.1
LCE2D|353141,LCE2B|26239,4.1
COL4A2|1284,COL4A1|1282,4.0
DHRS4L2|317749,DHRS4|10901,4.0
LCE2D|353141,LCE2C|353140,3.9
POM121C|100101267,POM121|9883,3.9
C1QC|714,C1QA|712,3.8
MED1|5469,CDK12|51755,3.8
PSME2|5721,PSME1|5720,3.8
RGPD4|285190,RGPD3|653489,3.8
HLA-DRA|3122,HLA-DMB|3109,3.7
HNRNPA1L2|144983,HNRNPA1|3178,3.7
LCE1F|353137,LCE1A|353131,3.7
LCE2D|353141,LCE1A|353131,3.7
PABPC3|5042,PABPC1|26986,3.7
TCEAL6|158931,TCEAL3|85012,3.7
COL3A1|1281,COL1A2|1278,3.6
LCE2B|26239,LCE1A|353131,3.6
LCE6A|448835,LCE2D|353141,3.6
MAF1|84232,HSF1|3297,3.6
NUDT5|11164,CDC123|8872,3.6
ZNF12|7559,RBAK|57786,3.6
COL5A2|1290,COL1A2|1278,3.5
COL6A2|1292,COL6A1|1291,3.5
FCGR1B|2210,FCGR1A|2209,3.5
LCE2C|353140,LCE1A|353131,3.5
MAEA|10296,CTBP1|1487,3.5
MAP1LC3B2|643246,MAP1LC3B|81631,3.5
HLA-DRA|3122,HLA-DPA1|3113,3.4
LCE2D|353141,LCE1D|353134,3.4
MYL12B|103910,MYL12A|10627,3.4
NME2|4831,NME1|4830,3.4
PARP9|83666,DTX3L|151636,3.4
RPS11|6205,RPL13A|23521,3.4
TROVE2|6738,CDC73|79577,3.4
CD3E|916,CD2|914,3.3
COL5A2|1290,COL3A1|1281,3.3
LCE2B|26239,LCE1D|353134,3.3
LCE6A|448835,LCE1A|353131,3.3
RPLP2|6181,RPL27A|6157,3.3
TMEM199|147007,POLDIP2|26073,3.3
TMSB4Y|9087,EIF1AY|9086,3.3
UTY|7404,TMSB4Y|9087,3.3
UTY|7404,USP9Y|8287,3.3
GGTLC2|91227,GGT1|2678,3.2
HLA-DPB1|3115,HLA-DPA1|3113,3.2
MSL1|339287,CASC3|22794,3.2
TIE1|7075,ESAM|90952,3.2
TLK2|11011,METTL2A|339175,3.2
VPS72|6944,SCNM1|79005,3.2
ZNF324B|388569,ZNF324|25799,3.2
COL3A1|1281,COL1A1|1277,3.1
COQ9|57017,CIAPIN1|57019,3.1
EVI2B|2124,CD53|963,3.1
HLA-DMA|3108,CD74|972,3.1
LCE1D|353134,LCE1A|353131,3.1
LEPROTL1|23484,DCTN6|10671,3.1
LSM1|27257,ASH2L|9070,3.1
MED26|9441,CHERP|10523,3.1
MRFAP1L1|114932,MRFAP1|93621,3.1
MRPS11|64963,MRPL46|26589,3.1
POLDIP2|26073,ERAL1|26284,3.1
PUF60|22827,MAF1|84232,3.1
SAFB2|9667,SAFB|6294,3.1
SHARPIN|81858,MAF1|84232,3.1
SPI1|6688,FERMT3|83706,3.1
SUPT16H|11198,CHD8|57680,3.1
TMEM14C|51522,TMEM14B|81853,3.1
ZNF799|90576,ZNF443|10224,3.1
ACOT2|10965,ACOT1|641371,3.0
HLA-DRA|3122,CD74|972,3.0
LARP4B|23185,GTPBP4|23560,3.0
LCE2B|26239,LCE1F|353137,3.0
LCE6A|448835,LCE1D|353134,3.0
LCE6A|448835,LCE2C|353140,3.0
LUM|4060,DCN|1634,3.0
MBD1|4152,CXXC1|30827,3.0
NAA15|80155,ABCE1|6059,3.0
PSMC5|5705,FTSJ3|117246,3.0
PSMD4|5710,PSMB4|5692,3.0
QRSL1|55278,ATG5|9474,3.0
RAD1|5810,DNAJC21|134218,3.0
SIRT7|51547,HGS|9146,3.0
TMEM126B|55863,TMEM126A|84233,3.0
TXLNA|200081,KPNA6|23633,3.0
UBE2K|3093,PDS5A|23244,3.0
UBE2N|7334,MRPL42|28977,3.0
UTY|7404,EIF1AY|9086,3.0
VPS37A|137492,CNOT7|29883,3.0
VPS72|6944,PSMD4|5710,3.0
ZNF234|10780,ZNF225|7768,3.0
CXorf36|79742,CD34|947,2.9
ESAM|90952,CD34|947,2.9
GPS1|2873,DUS1L|64118,2.9
HELZ|9931,BPTF|2186,2.9
HLA-DRA|3122,HLA-DPB1|3115,2.9
LCE2C|353140,LCE1F|353137,2.9
NDUFB5|4711,MRPL47|57129,2.9
PCID2|55795,CUL4A|8451,2.9
PIP4K2B|8396,CWC25|54883,2.9
PUF60|22827,HSF1|3297,2.9
