Gene1,Gene2,Aag_Edge_Weight
ANXA2P2|304,ANXA2|302,6.2
TSPY2|64591,NEUROD4|58158,5.4
TSPY2|64591,TFAP2D|83741,5.3
UQCRHL|440567,UQCRH|7388,5.3
TSPY4|728395,NEUROD4|58158,5.2
TSPY4|728395,TFAP2D|83741,5.1
TSPY4|728395,TSPY2|64591,5.1
COL1A2|1278,COL1A1|1277,5.0
C1QC|714,C1QB|713,4.9
COL4A2|1284,COL4A1|1282,4.9
HNRNPA1L2|144983,HNRNPA1|3178,4.9
TFAP2D|83741,NEUROD4|58158,4.9
C1QB|713,C1QA|712,4.8
UNCX|340260,TSPY2|64591,4.7
TSPY1|7258,NEUROD4|58158,4.6
MAP1LC3B2|643246,MAP1LC3B|81631,4.5
TFAP2D|83741,SYCP1|6847,4.5
UNCX|340260,TSPY4|728395,4.5
SYCP1|6847,NEUROD4|58158,4.4
UNCX|340260,NEUROD4|58158,4.4
C1S|716,C1R|715,4.3
EIF5AL1|143244,EIF5A|1984,4.3
MYL12B|103910,MYL12A|10627,4.3
POM121C|100101267,POM121|9883,4.3
GGTLC2|91227,GGT1|2678,4.2
GK3P|2713,GK|2710,4.2
TSPY2|64591,TSPY1|7258,4.2
COL3A1|1281,COL1A2|1278,4.1
CTAGE9|643854,CTAGE4|100128553,4.1
KRT8|3856,KRT18|3875,4.1
MFSD2B|388931,HMGA1|3159,4.1
PABPC3|5042,PABPC1|26986,4.0
TSPY1|7258,TFAP2D|83741,4.0
TSPY2|64591,SYCP1|6847,4.0
TSPY4|728395,ACTRT2|140625,4.0
ACOT2|10965,ACOT1|641371,3.9
COL5A1|1289,COL1A2|1278,3.9
DHRS4L2|317749,DHRS4|10901,3.9
KRTAP9-4|85280,KRTAP1-3|81850,3.9
NEUROG1|4762,NEUROD4|58158,3.9
TMEM176B|28959,TMEM176A|55365,3.9
TSPY4|728395,AVP|551,3.9
INTS9|55756,ELP3|55140,3.8
PNLIP|5406,CTRB1|1504,3.8
RPL32|6161,RPL15|6138,3.8
TSPY2|64591,ACTRT2|140625,3.8
UNCX|340260,TFAP2D|83741,3.8
UNCX|340260,TSPY1|7258,3.8
COL5A2|1290,COL5A1|1289,3.7
MAD2L1|4085,CCNA2|890,3.7
NEUROD4|58158,ACTRT2|140625,3.7
RSC1A1|6248,DDI2|84301,3.7
SYCN|342898,CTRB1|1504,3.7
SYCN|342898,PNLIP|5406,3.7
TSPY4|728395,NEUROG1|4762,3.7
UNCX|340260,SYCP1|6847,3.7
ZNF799|90576,ZNF443|10224,3.7
NSUN5P2|260294,NSUN5P1|155400,3.6
PSMF1|9491,CSNK2A1|1457,3.6
TSPY4|728395,SYCP1|6847,3.6
TSPY4|728395,TSPY1|7258,3.6
C1QC|714,C1QA|712,3.5
CTRB1|1504,CELA2A|63036,3.5
GLUD2|2747,GLUD1|2746,3.5
KRTAP9-8|83901,KRTAP1-3|81850,3.5
KRTAP9-8|83901,KRTAP9-4|85280,3.5
MBD1|4152,CXXC1|30827,3.5
RGP1|9827,MSMP|692094,3.5
RPL18|6141,RPL13A|23521,3.5
RPL32|6161,RPL14|9045,3.5
RPS11|6205,RPL13A|23521,3.5
SYCN|342898,CELA2A|63036,3.5
TFAP2D|83741,ACTRT2|140625,3.5
TSPY2|64591,NEUROG1|4762,3.5
UBE2J2|118424,AURKAIP1|54998,3.5
COL5A2|1290,COL1A2|1278,3.4
HLA-DPB1|3115,HLA-DPA1|3113,3.4
LEPROTL1|23484,DCTN6|10671,3.4
OR1E2|8388,OR1E1|8387,3.4
PPP2CB|5516,DCTN6|10671,3.4
PSME2|5721,PSME1|5720,3.4
PSMF1|9491,NSFL1C|55968,3.4
RPS19|6223,RPL18|6141,3.4
VDAC3|7419,POLB|5423,3.4
VPS37A|137492,CNOT7|29883,3.4
KIF14|9928,ASPM|259266,3.3
NEUROD4|58158,AVP|551,3.3
PNLIP|5406,CELA2A|63036,3.3
POLR3D|661,CHMP7|91782,3.3
PPAT|5471,PAICS|10606,3.3
RPS11|6205,RPL18|6141,3.3
RPS18|6222,RPS10|6204,3.3
RPS8|6202,RPL5|6125,3.3
TSPY2|64591,PNPLA5|150379,3.3
TSPY4|728395,GIP|2695,3.3
TSPY4|728395,TFAP2B|7021,3.3
XRN2|22803,CRNKL1|51340,3.3
CD3E|916,CD2|914,3.2
DYRK1A|1859,BRWD1|54014,3.2
HELZ|9931,BPTF|2186,3.2
HLA-H|3136,HLA-A|3105,3.2
MED1|5469,CDK12|51755,3.2
NPM1|4869,CLEC2D|29121,3.2
PTPRA|5786,CSNK2A1|1457,3.2
PUF60|22827,COMMD5|28991,3.2
RIOK1|83732,PAK1IP1|55003,3.2
RPL7|6129,EIF3E|3646,3.2
RPS3|6188,EEF1G|1937,3.2
RSL24D1|51187,COPS2|9318,3.2
SLC25A32|81034,NUDCD1|84955,3.2
SMC1A|8243,KDM5C|8242,3.2
TBC1D20|128637,CSNK2A1|1457,3.2
TFAP2B|7021,SYCP1|6847,3.2
TFAP2D|83741,SBK2|646643,3.2
TFAP2D|83741,TFAP2B|7021,3.2
TSPY1|7258,TFAP2B|7021,3.2
XPO7|23039,CHMP7|91782,3.2
ZNF45|7596,ZNF227|7770,3.2
CUL4A|8451,CDC16|8881,3.1
GTF2E2|2961,DCTN6|10671,3.1
HSPA1B|3304,HSPA1A|3303,3.1
INTS10|55174,CNOT7|29883,3.1
KRTAP4-9|100132386,KRTAP4-12|83755,3.1
LAPTM5|7805,CD53|963,3.1
MRPS15|64960,LSM10|84967,3.1
NDUFA1|4694,COX7B|1349,3.1
NUDT5|11164,CDC123|8872,3.1
POLDIP2|26073,ERAL1|26284,3.1
PPRC1|23082,PDCD11|22984,3.1
PRC1|9055,FANCI|55215,3.1
PSMA2|5683,LSM5|23658,3.1
PSMA7|5688,ADRM1|11047,3.1
PTPRA|5786,PSMF1|9491,3.1
RANBP1|5902,CDC45|8318,3.1
RPL30|6156,EIF3H|8667,3.1
RPL7A|6130,RPL12|6136,3.1
RPL7A|6130,RPL35|11224,3.1
RPS18|6222,RPL10A|4736,3.1
RPS9|6203,RPL13A|23521,3.1
TAP1|6890,PSMB9|5698,3.1
TFAP2B|7021,NEUROD4|58158,3.1
TFAP2D|83741,AVP|551,3.1
TMEM14C|51522,TMEM14B|81853,3.1
TOMM5|401505,EXOSC3|51010,3.1
TSPY4|728395,SLC17A6|57084,3.1
UNCX|340260,AVP|551,3.1
AGAP6|414189,AGAP4|119016,3.0
CDH5|1003,CD34|947,3.0
COL5A1|1289,COL1A1|1277,3.0
COL6A3|1293,COL5A2|1290,3.0
EIF3L|51386,EIF3D|8664,3.0
KIF2C|11004,CDCA8|55143,3.0
KRTAP9-4|85280,KRTAP4-9|100132386,3.0
MMRN2|79812,ARHGEF15|22899,3.0
MRPL20|55052,AURKAIP1|54998,3.0
NAA11|84779,FAM9B|171483,3.0
PBK|55872,ESCO2|157570,3.0
PDCD11|22984,NOLC1|9221,3.0
PSMA2|5683,PPIA|5478,3.0
RPL10|6134,IGBP1|3476,3.0
RPL23|9349,RPL19|6143,3.0
RPL3|6122,EIF3L|51386,3.0
RPL30|6156,EIF3E|3646,3.0
RPL35A|6165,RPL24|6152,3.0
RPS13|6207,RPL27A|6157,3.0
RPS5|6193,RPS11|6205,3.0
SNRPB|6628,MRPS26|64949,3.0
SP110|3431,SP100|6672,3.0
SPHAR|10638,RAB4A|5867,3.0
SPRR2B|6701,CRNN|49860,3.0
SPTBN1|6711,SPTAN1|6709,3.0
SYCP1|6847,SBK2|646643,3.0
TAF1L|138474,TAF1|6872,3.0
TAF4|6874,LSM14B|149986,3.0
TAGLN|6876,ACTA2|59,3.0
TATDN1|83940,EIF3E|3646,3.0
TFAP2D|83741,GIP|2695,3.0
TRAPPC3|27095,LSM10|84967,3.0
TRRAP|8295,BAZ1B|9031,3.0
TSPY2|64591,TFAP2B|7021,3.0
TSR1|55720,GEMIN4|50628,3.0
UNCX|340260,ACTRT2|140625,3.0
UQCRB|7381,COX6C|1345,3.0
UXT|8409,NDUFB11|54539,3.0
XPO7|23039,PCM1|5108,3.0
ZC3H3|23144,HSF1|3297,3.0
ZNF770|54989,AQR|9716,3.0
CD34|947,ARHGEF15|22899,2.9
CD3D|915,CD2|914,2.9
CNOT7|29883,CCDC25|55246,2.9
CXorf36|79742,CD34|947,2.9
DRAM2|128338,CEPT1|10390,2.9
EIF4A1|1973,C1QBP|708,2.9
FERMT2|10979,CALD1|800,2.9
GIMAP6|474344,GIMAP4|55303,2.9
HLA-DRA|3122,HLA-DMB|3109,2.9
HLA-DRA|3122,HLA-DPA1|3113,2.9
HSPE1|3336,HSPD1|3329,2.9
KRTAP9-8|83901,KRTAP4-9|100132386,2.9
LEPROTL1|23484,GTF2E2|2961,2.9
LYAR|55646,GRPEL1|80273,2.9
MMRN2|79812,CXorf36|79742,2.9
MRPS11|64963,MRPL46|26589,2.9
MSRB3|253827,CALD1|800,2.9
NCAPH|23397,BUB1|699,2.9
NOP56|10528,MRPS26|64949,2.9
NSFL1C|55968,CSNK2A1|1457,2.9
NSFL1C|55968,MRPS26|64949,2.9
NUDCD1|84955,DCAF13|25879,2.9
NUSAP1|51203,BUB1B|701,2.9
PANK2|80025,CSNK2A1|1457,2.9
PARP9|83666,DTX3L|151636,2.9
PSMA6|5687,PSMA3|5684,2.9
PSMB9|5698,PSMB8|5696,2.9
PTEN|5728,ATAD1|84896,2.9
PTPN2|5771,PSMG2|56984,2.9
RAD51|5888,OIP5|11339,2.9
RPL8|6132,EEF1D|1936,2.9
RPLP1|6176,RPLP0|6175,2.9
RPS5|6193,RPL13A|23521,2.9
SBK2|646643,NEUROD4|58158,2.9
SHARPIN|81858,HSF1|3297,2.9
SLC17A6|57084,NEUROD4|58158,2.9
SNX5|27131,POLR3F|10621,2.9
TAGLN|6876,CNN1|1264,2.9
TBCA|6902,COX7C|1350,2.9
TFAP2D|83741,NEUROG1|4762,2.9
TMPRSS11F|389208,CRNN|49860,2.9
TMPRSS11F|389208,SPRR2B|6701,2.9
TNKS|8658,PCM1|5108,2.9
TPI1|7167,GAPDH|2597,2.9
TPP2|7174,CUL4A|8451,2.9
TRAPPC3|27095,MRPS15|64960,2.9
TRIM35|23087,ELP3|55140,2.9
TSPY2|64591,AVP|551,2.9
TSPY2|64591,KRT28|162605,2.9
TUBGCP3|10426,CUL4A|8451,2.9
UNCX|340260,NEUROG1|4762,2.9
VPS72|6944,MRPL9|65005,2.9
WAS|7454,HCLS1|3059,2.9
XPO7|23039,INTS9|55756,2.9
ZBTB33|10009,PHF6|84295,2.9
ZFX|7543,KDM6A|7403,2.9
ZNF12|7559,RBAK|57786,2.9
ZNF7|7553,ZNF250|58500,2.9
ZNF708|7562,ZNF100|163227,2.9
CCT7|10574,CCT4|10575,2.8
CD3E|916,CD3D|915,2.8
CD96|10225,CD3E|916,2.8
CENPF|1063,ASPM|259266,2.8
CEP350|9857,ASH1L|55870,2.8
CHMP7|91782,BIN3|55909,2.8
COL5A2|1290,COL1A1|1277,2.8
COL6A2|1292,COL6A1|1291,2.8
