Gene1,Gene2,Aag_Edge_Weight
UQCRHL|440567,UQCRH|7388,5.2
C1QB|713,C1QA|712,4.6
POM121C|100101267,POM121|9883,4.4
C1QC|714,C1QB|713,4.2
TMEM176B|28959,TMEM176A|55365,4.2
ANXA2P2|304,ANXA2|302,4.1
RPL32|6161,RPL14|9045,3.9
RPL32|6161,RPL29|6159,3.9
EIF5AL1|143244,EIF5A|1984,3.8
COL4A2|1284,COL4A1|1282,3.7
DHRS4L2|317749,DHRS4|10901,3.6
FCGR1B|2210,FCGR1A|2209,3.6
HLA-DRA|3122,HLA-DPB1|3115,3.5
HSPA1B|3304,HSPA1A|3303,3.5
RPL32|6161,RPL15|6138,3.5
TSPY2|64591,TSPY1|7258,3.5
GGTLC2|91227,GGT1|2678,3.4
CD3E|916,CD2|914,3.3
RPS16|6217,RPL18|6141,3.3
TMEM14C|51522,TMEM14B|81853,3.3
CDH5|1003,CD34|947,3.2
CT45A6|541465,CT45A3|441519,3.2
RPL29|6159,RPL14|9045,3.2
RPS6|6194,RPL7A|6130,3.2
RPS8|6202,RPL5|6125,3.2
EIF3H|8667,EIF3E|3646,3.1
HLA-DMA|3108,CD74|972,3.1
IFIT3|3437,IFIT2|3433,3.1
RPL22|6146,RPL11|6135,3.1
RPL7A|6130,RPL12|6136,3.1
ZNF799|90576,ZNF443|10224,3.1
ACOT2|10965,ACOT1|641371,3.0
GK3P|2713,GK|2710,3.0
HLA-DRA|3122,HLA-DMB|3109,3.0
NCKAP1L|3071,DOCK2|1794,3.0
NDUFB7|4713,NDUFA11|126328,3.0
PSMA3|5684,ERH|2079,3.0
PSMB9|5698,PSMB8|5696,3.0
RPS11|6205,RPL18|6141,3.0
UQCRQ|27089,NDUFA2|4695,3.0
WAS|7454,SPI1|6688,3.0
C1QC|714,C1QA|712,2.9
CTAGE9|643854,CTAGE4|100128553,2.9
GMFG|9535,ARHGDIB|397,2.9
MRPL38|64978,GPS1|2873,2.9
RPS5|6193,RPS16|6217,2.9
RSAD2|91543,CMPK2|129607,2.9
SAFB2|9667,SAFB|6294,2.9
SNW1|22938,MED6|10001,2.9
TAP1|6890,PSMB9|5698,2.9
ZER1|10444,TBC1D13|54662,2.9
CD3E|916,CD3D|915,2.8
EIF3L|51386,EIF3D|8664,2.8
GAGE2D|729408,GAGE1|2543,2.8
GIMAP7|168537,GIMAP5|55340,2.8
HLA-DPB1|3115,HLA-DPA1|3113,2.8
HLA-DRA|3122,HLA-DPA1|3113,2.8
MBD1|4152,CXXC1|30827,2.8
MMRN2|79812,CLEC14A|161198,2.8
PACS2|23241,MTA1|9112,2.8
PNLIP|5406,CELA3A|10136,2.8
RARS|5917,NPM1|4869,2.8
RBM42|79171,HSPBP1|23640,2.8
RGPD4|285190,RGPD3|653489,2.8
RIOK1|83732,PAK1IP1|55003,2.8
ROBO4|54538,CDH5|1003,2.8
RPL35|11224,RPL12|6136,2.8
RPS18|6222,RPS10|6204,2.8
RPS3|6188,RPL10A|4736,2.8
RPS5|6193,RPS3|6188,2.8
SLC2A3|6515,SLC2A14|144195,2.8
TAP1|6890,PSMB8|5696,2.8
TOX4|9878,PRMT5|10419,2.8
YIPF3|25844,MRPS18A|55168,2.8
ZNF587|84914,ZNF417|147687,2.8
BTN3A3|10384,BTN3A1|11119,2.7
CD3D|915,CD2|914,2.7
CGGBP1|8545,C3orf38|285237,2.7
COL5A1|1289,COL1A1|1277,2.7
GIMAP5|55340,GIMAP4|55303,2.7
IFITM3|10410,IFITM2|10581,2.7
MYCT1|80177,CYYR1|116159,2.7
NDUFA12|55967,COX6A1|1337,2.7
PDGFRB|5159,NOTCH3|4854,2.7
PLCB2|5330,MYO1F|4542,2.7
RPL15|6138,RPL14|9045,2.7
RPL8|6132,EEF1D|1936,2.7
RPS21|6227,RPS16|6217,2.7
RPS3|6188,RPL18|6141,2.7
SHARPIN|81858,MAF1|84232,2.7
TIE1|7075,CDH5|1003,2.7
TYROBP|7305,FCER1G|2207,2.7
URM1|81605,GTF3C5|9328,2.7
ZNF468|90333,ZNF28|7576,2.7
ZNF654|55279,CGGBP1|8545,2.7
COL3A1|1281,COL1A2|1278,2.6
COL6A2|1292,COL6A1|1291,2.6
GIMAP7|168537,GIMAP4|55303,2.6
GMPR2|51292,APEX1|328,2.6
HADHB|3032,HADHA|3030,2.6
HLA-DRA|3122,HLA-DMA|3108,2.6
KRT8|3856,KRT18|3875,2.6
LST1|7940,AIF1|199,2.6
NDUFA2|4695,MRPL22|29093,2.6
NUBP2|10101,MPG|4350,2.6
PCDH12|51294,BCL6B|255877,2.6
PFN1|5216,EIF5A|1984,2.6
PPM1A|5494,NAA30|122830,2.6
PUF60|22827,EXOSC4|54512,2.6
RBM25|58517,PNN|5411,2.6
ROBO4|54538,ARHGEF15|22899,2.6
RPL10|6134,IGBP1|3476,2.6
RPL18|6141,FAU|2197,2.6
RPL6|6128,RPL4|6124,2.6
RPLP2|6181,RPL27A|6157,2.6
RPS16|6217,RPL13A|23521,2.6
RPS19|6223,RPS16|6217,2.6
RPS20|6224,RPL30|6156,2.6
RPS3|6188,RPL18A|6142,2.6
RPS3|6188,RPS16|6217,2.6
RSL24D1|51187,COPS2|9318,2.6
SCAP|22937,DHX30|22907,2.6
SDF2L1|23753,CRELD2|79174,2.6
SDF4|51150,DDOST|1650,2.6
SSR2|6746,HAX1|10456,2.6
STOML2|30968,DCTN3|11258,2.6
TBC1D10C|374403,ACAP1|9744,2.6
TCEAL6|158931,TCEAL3|85012,2.6
USHBP1|83878,ADCY4|196883,2.6
USP19|10869,DHX30|22907,2.6
VAV1|7409,NCKAP1L|3071,2.6
ZNF740|283337,CTDSP2|10106,2.6
ACTR3|10096,ACTR2|10097,2.5
ATG12|9140,AP3S1|1176,2.5
C1S|716,C1R|715,2.5
CCNC|892,ATG5|9474,2.5
CD34|947,ARHGEF15|22899,2.5
CENPF|1063,ASPM|259266,2.5
COX7B|1349,COX5A|9377,2.5
CXorf36|79742,CD34|947,2.5
CXorf36|79742,CDH5|1003,2.5
DMGDH|29958,BHMT2|23743,2.5
ESAM|90952,CDH5|1003,2.5
ESAM|90952,CLEC14A|161198,2.5
GIMAP6|474344,GIMAP4|55303,2.5
GPS1|2873,ASPSCR1|79058,2.5
IK|3550,HARS|3035,2.5
LEPROTL1|23484,DCTN6|10671,2.5
LTB4R2|56413,LTB4R|1241,2.5
MED6|10001,ALKBH1|8846,2.5
MMRN2|79812,CD34|947,2.5
NDUFB7|4713,NDUFA13|51079,2.5
NOTCH4|4855,FLT4|2324,2.5
PCNP|57092,CLDND1|56650,2.5
PFDN1|5201,MRPL22|29093,2.5
PGAM4|441531,PGAM1|5223,2.5
PRELID1|27166,MXD3|83463,2.5
RPL23A|6147,RPL19|6143,2.5
RPL27A|6157,FAU|2197,2.5
RPS11|6205,RPL29|6159,2.5
RPS11|6205,RPL32|6161,2.5
RPS15|6209,RPL18|6141,2.5
RPS16|6217,RPS11|6205,2.5
RPS18|6222,RPL10A|4736,2.5
RPS18|6222,RPL18|6141,2.5
RPS19|6223,RPL18|6141,2.5
RPS23|6228,BTF3|689,2.5
RPS3A|6189,RPL5|6125,2.5
RPS5|6193,PHB2|11331,2.5
RPS5|6193,RPL10A|4736,2.5
RPS6|6194,RPL12|6136,2.5
RPS9|6203,RPS16|6217,2.5
RPS9|6203,RPS3|6188,2.5
SASH3|54440,CORO1A|11151,2.5
SEC61B|10952,NANS|54187,2.5
SET|6418,ANP32B|10541,2.5
SETD1A|9739,RNF40|9810,2.5
SH2D3C|10044,NOVA2|4858,2.5
SNRNP200|23020,PRPF8|10594,2.5
SUPT16H|11198,CHD8|57680,2.5
SURF6|6838,REXO4|57109,2.5
TEK|7010,PTPRB|5787,2.5
THOC7|80145,PSMD6|9861,2.5
TOMM6|100188893,MEA1|4201,2.5
TPR|7175,ASH1L|55870,2.5
TPX2|22974,TOP2A|7153,2.5
TRAPPC1|58485,PFN1|5216,2.5
TXNL1|9352,C18orf32|497661,2.5
TYROBP|7305,AIF1|199,2.5
UBE2J2|118424,RER1|11079,2.5
UQCR10|29796,NDUFA6|4700,2.5
UQCRC1|7384,APEH|327,2.5
UQCRC1|7384,TEX264|51368,2.5
VPS37A|137492,CNOT7|29883,2.5
ZNF615|284370,ZNF614|80110,2.5
ZNF75A|7627,TIGD7|91151,2.5
ZNHIT1|10467,POLR2J|5439,2.5
CDCA8|55143,CDC20|991,2.4
CEP55|55165,CDK1|983,2.4
COX7B|1349,COX6A1|1337,2.4
CPNE3|8895,ARMC1|55156,2.4
ERG|2078,CXorf36|79742,2.4
ESAM|90952,CD34|947,2.4
GTF3C5|9328,ANAPC2|29882,2.4
HLA-B|3106,HLA-A|3105,2.4
HOXA9|3205,HOXA10|3206,2.4
ILF2|3608,CCT3|7203,2.4
INTS9|55756,CHMP7|91782,2.4
KIF11|3832,CEP55|55165,2.4
KRIT1|889,GATAD1|57798,2.4
LCK|3932,CD3E|916,2.4
MAP1LC3B2|643246,MAP1LC3B|81631,2.4
MRPL43|84545,CUEDC2|79004,2.4
MRPL45|84311,MRPL10|124995,2.4
MRPS18A|55168,MRPL2|51069,2.4
MRPS2|51116,GTF3C5|9328,2.4
MRPS22|56945,MRPL3|11222,2.4
NAA15|80155,ABCE1|6059,2.4
NCKAP1L|3071,LCP1|3936,2.4
NDUFB4|4710,COX17|10063,2.4
NEDD8|4738,DAD1|1603,2.4
NSA2|10412,BTF3|689,2.4
NSUN5P2|260294,NSUN5P1|155400,2.4
OSGIN2|734,NBN|4683,2.4
PFN1|5216,EIF5AL1|143244,2.4
PLCB2|5330,PARVG|64098,2.4
PRF1|5551,NKG7|4818,2.4
PTPN23|25930,DHX30|22907,2.4
REXO4|57109,GTF3C5|9328,2.4
RNASE4|6038,ANG|283,2.4
ROBO4|54538,NOVA2|4858,2.4
ROBO4|54538,RASIP1|54922,2.4
RPL30|6156,EIF3H|8667,2.4
RPL38|6169,RPL23|9349,2.4
RPL6|6128,NACA|4666,2.4
RPLP0|6175,PHB2|11331,2.4
RPS11|6205,FAU|2197,2.4
RPS15|6209,RPL36|25873,2.4
RPS16|6217,RPL32|6161,2.4
RPS2|6187,RPL13|6137,2.4
RPS3|6188,EEF1G|1937,2.4
RPS3|6188,RPS18|6222,2.4
RPS3A|6189,RPL10A|4736,2.4
RPS5|6193,RPL10|6134,2.4
RPS6|6194,RPL35|11224,2.4
RPS9|6203,RPL13A|23521,2.4
S1PR1|1901,CDH5|1003,2.4
SETD1A|9739,FBRS|64319,2.4
SHPRH|257218,LATS1|9113,2.4
SMC3|9126,SLK|9748,2.4
TMED9|54732,LMAN2|10960,2.4
TMEM126B|55863,TMEM126A|84233,2.4
TOR1A|1861,SURF4|6836,2.4
TPX2|22974,CEP55|55165,2.4
TRUB2|26995,NDUFA8|4702,2.4
TRUB2|26995,STOML2|30968,2.4
TSPY3|728137,TSPY2|64591,2.4
UBA1|7317,CDK16|5127,2.4
UBE2B|7320,CAMLG|819,2.4
UBQLN1|29979,RAD23B|5887,2.4
