Gene1,Gene2,Aag_Edge_Weight
TSPY3|728137,TSPY2|64591,6.8
TSPY4|728395,TSPY3|728137,6.6
TSPY4|728395,TSPY2|64591,6.3
UQCRHL|440567,UQCRH|7388,5.6
C1QC|714,C1QB|713,5.0
CTAGE9|643854,CTAGE4|100128553,4.7
ANXA2P2|304,ANXA2|302,4.3
TMEM176B|28959,TMEM176A|55365,4.2
C1QB|713,C1QA|712,4.1
RPL32|6161,RPL15|6138,4.0
DHRS4L2|317749,DHRS4|10901,3.9
EIF5AL1|143244,EIF5A|1984,3.9
RPL29|6159,RPL14|9045,3.9
RPL32|6161,RPL14|9045,3.8
TSPY3|728137,RBMY1A1|5940,3.7
ACOT2|10965,ACOT1|641371,3.6
C1QC|714,C1QA|712,3.6
CT45A5|441521,CT45A3|441519,3.6
RPL28|6158,RPL18|6141,3.6
GGTLC2|91227,GGT1|2678,3.5
KRT8|3856,KRT18|3875,3.5
POM121C|100101267,POM121|9883,3.5
RPL32|6161,RPL29|6159,3.5
MRPS18A|55168,MRPL2|51069,3.4
PIK3CB|5291,ARMC8|25852,3.3
RPL38|6169,RPL19|6143,3.3
RPL7A|6130,RPL12|6136,3.3
TMEM14C|51522,TMEM14B|81853,3.3
TOMM6|100188893,MEA1|4201,3.3
TRIM16L|147166,TRIM16|10626,3.3
RPL15|6138,RPL14|9045,3.2
RPL38|6169,RPL23|9349,3.2
TSPY2|64591,RBMY1A1|5940,3.2
TSPY4|728395,RBMY1A1|5940,3.2
DSCR8|84677,DSCR4|10281,3.1
EIF3L|51386,EIF3D|8664,3.1
HNRNPA1L2|144983,HNRNPA1|3178,3.1
HSPA1B|3304,HSPA1A|3303,3.1
KRTAP10-12|386685,GJA10|84694,3.1
MRPS18A|55168,MRPL14|64928,3.1
RPL23|9349,RPL19|6143,3.1
RPL6|6128,NACA|4666,3.1
RPS19|6223,RPL18|6141,3.1
RPS8|6202,RPL5|6125,3.1
SERPINB11|89778,S100G|795,3.1
TCEAL6|158931,TCEAL3|85012,3.1
TOMM6|100188893,POLR1C|9533,3.1
EIF3H|8667,EIF3E|3646,3.0
GGTLC1|92086,GGT1|2678,3.0
GIMAP8|155038,GIMAP4|55303,3.0
MRPL38|64978,GPS1|2873,3.0
NDUFA1|4694,COX7B|1349,3.0
NDUFA12|55967,COX6A1|1337,3.0
NDUFB7|4713,NDUFA13|51079,3.0
NSUN5P2|260294,NSUN5P1|155400,3.0
PCNT|5116,MCM3AP|8888,3.0
POLR1C|9533,BYSL|705,3.0
POLR1C|9533,MAD2L1BP|9587,3.0
PSMD4|5710,PSMB4|5692,3.0
PSME2|5721,PSME1|5720,3.0
RPS20|6224,RPL30|6156,3.0
SPI1|6688,FERMT3|83706,3.0
TYROBP|7305,FCER1G|2207,3.0
YIPF3|25844,SLC35B2|347734,3.0
CEMP1|752014,AMDHD2|51005,2.9
COL4A2|1284,COL4A1|1282,2.9
GAGE2D|729408,GAGE2B|645037,2.9
MAP1LC3B2|643246,MAP1LC3B|81631,2.9
MRPL38|64978,MRPL12|6182,2.9
OR2V2|285659,CATSPER4|378807,2.9
PPP2R5D|5528,KLHDC3|116138,2.9
RNASE4|6038,ANG|283,2.9
RPL7A|6130,RPL35|11224,2.9
RSL24D1|51187,COPS2|9318,2.9
SCNM1|79005,KRTCAP2|200185,2.9
TYROBP|7305,LAPTM5|7805,2.9
UBA52|7311,RPL18A|6142,2.9
ZNRF4|148066,CST9L|128821,2.9
CDH5|1003,CD34|947,2.8
GGTLC2|91227,GGTLC1|92086,2.8
GIMAP6|474344,GIMAP4|55303,2.8
GIMAP8|155038,GIMAP6|474344,2.8
HADHB|3032,HADHA|3030,2.8
HLA-DRA|3122,CD74|972,2.8
HLA-DRA|3122,HLA-DPA1|3113,2.8
IER3IP1|51124,C18orf32|497661,2.8
MRPS18A|55168,MAD2L1BP|9587,2.8
NME2|4831,NME1|4830,2.8
PIGU|128869,ERGIC3|51614,2.8
PSMG2|56984,NDUFV2|4729,2.8
RALGAPB|57148,ARFGEF2|10564,2.8
RPL22|6146,RPL11|6135,2.8
RPL3|6122,EIF3L|51386,2.8
RPL32|6161,RPL24|6152,2.8
RPLP2|6181,RPL27A|6157,2.8
RPS3|6188,EEF1G|1937,2.8
RPS3|6188,RPS10|6204,2.8
TRAPPC1|58485,EIF5A|1984,2.8
UQCR10|29796,NDUFA6|4700,2.8
XRN1|54464,PHC3|80012,2.8
YIPF3|25844,MAD2L1BP|9587,2.8
YIPF3|25844,MRPS18A|55168,2.8
YIPF3|25844,TMEM63B|55362,2.8
ZNF468|90333,ZNF28|7576,2.8
ZNF799|90576,ZNF443|10224,2.8
BTN3A3|10384,BTN3A1|11119,2.7
C1S|716,C1R|715,2.7
CD3E|916,CD2|914,2.7
DDX27|55661,CTNNBL1|56259,2.7
MRPL32|64983,C7orf25|79020,2.7
NCKAP1L|3071,DOCK2|1794,2.7
OR7C2|26658,OR51V1|283111,2.7
PAFAH1B1|5048,ANKFY1|51479,2.7
PATE1|160065,CRISP1|167,2.7
PFN1|5216,EIF5A|1984,2.7
PNLIP|5406,CELA3A|10136,2.7
RBMY1B|378948,RBMY1A1|5940,2.7
RIOK1|83732,PAK1IP1|55003,2.7
RPL24|6152,RPL15|6138,2.7
RPL35|11224,RPL12|6136,2.7
RPL38|6169,RPL23A|6147,2.7
RPL8|6132,EEF1D|1936,2.7
RPS19|6223,RPL28|6158,2.7
RPS5|6193,RPL18|6141,2.7
SDHD|6392,DLAT|1737,2.7
SHARPIN|81858,MAF1|84232,2.7
SIX6|4990,CRISP1|167,2.7
SPI1|6688,HCK|3055,2.7
SPRN|503542,MTG1|92170,2.7
SSBP1|6742,MRPS33|51650,2.7
THAP7|80764,DGCR6L|85359,2.7
TJAP1|93643,GTPBP2|54676,2.7
TOMM22|56993,DRG1|4733,2.7
UBE2W|55284,STAU2|27067,2.7
YIPF3|25844,PPP2R5D|5528,2.7
ZNRF4|148066,OTUD6A|139562,2.7
CLEC14A|161198,CD34|947,2.6
FCGR1B|2210,FCGR1A|2209,2.6
GIMAP5|55340,GIMAP4|55303,2.6
GIMAP7|168537,GIMAP4|55303,2.6
GIMAP8|155038,GIMAP1|170575,2.6
HCK|3055,FERMT3|83706,2.6
HLA-DPB1|3115,HLA-DPA1|3113,2.6
HLA-DRA|3122,HLA-DPB1|3115,2.6
HSPE1|3336,HSPD1|3329,2.6
LAPTM5|7805,FCER1G|2207,2.6
MBD1|4152,CXXC1|30827,2.6
MRPS10|55173,MED20|9477,2.6
MRPS22|56945,MRPL47|57129,2.6
NEURL4|84461,CNTROB|116840,2.6
OR7C2|26658,OR2Z1|284383,2.6
PFN1|5216,EIF5AL1|143244,2.6
RPL18|6141,FAU|2197,2.6
RPL24|6152,RPL14|9045,2.6
RPL29|6159,RPL15|6138,2.6
RPL7L1|285855,CDC5L|988,2.6
RPS11|6205,FBL|2091,2.6
RPS13|6207,RPL27A|6157,2.6
RPS15|6209,RPL18|6141,2.6
RPS15|6209,RPL28|6158,2.6
RPS16|6217,RPL36|25873,2.6
RPS16|6217,RPS11|6205,2.6
RPS5|6193,RPL13A|23521,2.6
RPS5|6193,RPS3|6188,2.6
SCAF1|58506,MAP1S|55201,2.6
SCO1|6341,C1QBP|708,2.6
SETD1A|9739,FBRS|64319,2.6
SLC35B2|347734,MRPS18A|55168,2.6
TEX13A|56157,LGALS14|56891,2.6
TMEM126A|84233,CWC15|51503,2.6
TOMM6|100188893,MRPS10|55173,2.6
TRAPPC5|126003,GADD45GIP1|90480,2.6
TXNL1|9352,PSMG2|56984,2.6
TYROBP|7305,SPI1|6688,2.6
UBE3C|9690,LMBR1|64327,2.6
UQCR10|29796,TXN2|25828,2.6
UQCR11|10975,NDUFA13|51079,2.6
UQCRQ|27089,NDUFA2|4695,2.6
ZCRB1|85437,CCDC59|29080,2.6
ZNF24|7572,SMAD4|4089,2.6
COPS6|10980,BUD31|8896,2.5
CXorf36|79742,CD34|947,2.5
CXorf36|79742,CDH5|1003,2.5
DBT|1629,AGL|178,2.5
EVI2B|2124,EVI2A|2123,2.5
GAGE1|2543,COX7B2|170712,2.5
HLA-F|3134,HLA-B|3106,2.5
KCNK16|83795,GCG|2641,2.5
LCK|3932,CD3E|916,2.5
MDH2|4191,DLD|1738,2.5
MFSD2B|388931,HMGA1|3159,2.5
MPHOSPH10|10199,CEBPZ|10153,2.5
MRPL12|6182,ANAPC11|51529,2.5
MYL12B|103910,MYL12A|10627,2.5
NDUFA4|4697,CHCHD3|54927,2.5
NDUFA9|4704,NDUFA12|55967,2.5
NDUFB9|4715,COX6C|1345,2.5
OR8K1|390157,KRTAP10-12|386685,2.5
PACS2|23241,BRF1|2972,2.5
PPIG|9360,CIR1|9541,2.5
PRAMEF22|653606,GJA10|84694,2.5
PRPF6|24148,CTNNBL1|56259,2.5
PSMD10|5716,MORF4L2|9643,2.5
RAE1|8480,PDRG1|81572,2.5
RALGAPB|57148,ITCH|83737,2.5
RPL18|6141,RPL13A|23521,2.5
RPL23A|6147,RPL19|6143,2.5
RPL27A|6157,FAU|2197,2.5
RPL3|6122,EIF3D|8664,2.5
RPL35|11224,RPL18|6141,2.5
RPL35A|6165,RPL24|6152,2.5
RPL5|6125,RPL11|6135,2.5
RPLP0|6175,RPL41|6171,2.5
RPS16|6217,RPL18|6141,2.5
RPS3|6188,RPL27A|6157,2.5
RPS6|6194,RPL12|6136,2.5
RPS8|6202,RPL11|6135,2.5
RPS9|6203,RPL18A|6142,2.5
RUVBL2|10856,HSPBP1|23640,2.5
SCAP|22937,DHX30|22907,2.5
SDF2L1|23753,CRELD2|79174,2.5
SEC61G|23480,PSMA2|5683,2.5
SERPINB11|89778,GK2|2712,2.5
SIX6|4990,FAM74A1|401507,2.5
SNRPD2|6633,RPS11|6205,2.5
SPCS1|28972,ARF4|378,2.5
SRPK2|6733,COG5|10466,2.5
SSB|6741,NOP58|51602,2.5
SSBP1|6742,PPIA|5478,2.5
SSX4|6759,COX7B2|170712,2.5
TACO1|51204,MRPL12|6182,2.5
TACO1|51204,MRPS7|51081,2.5
TAP1|6890,PSMB8|5696,2.5
TFIP11|24144,SRRD|402055,2.5
TJAP1|93643,ABCC10|89845,2.5
TMED9|54732,LMAN2|10960,2.5
TMEM63B|55362,SLC35B2|347734,2.5
TXN2|25828,TOMM22|56993,2.5
UBA1|7317,CDK16|5127,2.5
UBR2|23304,TAF8|129685,2.5
UQCR11|10975,COX8A|1351,2.5
UQCRB|7381,COX6C|1345,2.5
UQCRB|7381,NDUFB9|4715,2.5
VPS37A|137492,DCTN6|10671,2.5
ZBTB41|360023,TROVE2|6738,2.5
ZMYM2|7750,PAN3|255967,2.5
ZNF33B|7582,ZNF33A|7581,2.5
ZNF740|283337,CTDSP2|10106,2.5
ZNF84|7637,ZNF605|100289635,2.5
ZNRF4|148066,OR4D5|219875,2.5
AGAP6|414189,AGAP4|119016,2.4
ATXN1L|342371,AP1G1|164,2.4
CAPN10|11132,ATG4B|23192,2.4
CRYZL1|9946,CCT8|10694,2.4
DYRK1A|1859,BRWD1|54014,2.4
GIMAP7|168537,GIMAP5|55340,2.4
GIMAP7|168537,GIMAP6|474344,2.4
GIMAP8|155038,GIMAP5|55340,2.4
GK3P|2713,GK|2710,2.4
HTR3B|9177,CRISP1|167,2.4
IMMT|10989,HADHB|3032,2.4
LAPTM5|7805,LAIR1|3903,2.4
LGALS14|56891,H2BFWT|158983,2.4
MC2R|4158,CYP11B1|1584,2.4
MDH2|4191,CHCHD2|51142,2.4
MRPL12|6182,GPS1|2873,2.4
MRPL2|51069,MEA1|4201,2.4
MRPL27|51264,ANAPC11|51529,2.4
MRPL39|54148,CCT8|10694,2.4
MRPS10|55173,BYSL|705,2.4
MRPS18A|55168,MRPS10|55173,2.4
NDUFA11|126328,MRPL54|116541,2.4
