Gene1,Gene2,Aag_Edge_Weight
C1QC|714,C1QB|713,5.2
COL4A2|1284,COL4A1|1282,4.7
ANXA2P2|304,ANXA2|302,4.6
DHRS4L2|317749,DHRS4|10901,4.4
FCGR1B|2210,FCGR1A|2209,4.4
POM121C|100101267,POM121|9883,4.2
TMEM176B|28959,TMEM176A|55365,4.1
RPL18|6141,RPL13A|23521,4.0
HNRNPA1L2|144983,HNRNPA1|3178,3.9
RPS11|6205,RPL18|6141,3.9
RPS8|6202,RPL11|6135,3.9
UQCRHL|440567,UQCRH|7388,3.9
C1QB|713,C1QA|712,3.8
PSMB9|5698,PSMB8|5696,3.8
HLA-DRA|3122,CD74|972,3.7
PARP9|83666,DTX3L|151636,3.7
RPL3|6122,EIF3L|51386,3.7
RPS8|6202,RPL5|6125,3.7
NCKAP1L|3071,DOCK2|1794,3.6
RSAD2|91543,CMPK2|129607,3.6
ZFX|7543,KDM6A|7403,3.6
C1QC|714,C1QA|712,3.5
RPL30|6156,EIF3H|8667,3.5
VPS28|51160,SHARPIN|81858,3.5
ACOT2|10965,ACOT1|641371,3.4
RPL5|6125,RPL22|6146,3.4
TBCB|1155,POLR2I|5438,3.4
ZNF302|55900,ZNF181|339318,3.4
ZNF7|7553,ZNF34|80778,3.4
ERH|2079,COX16|51241,3.3
GLUD2|2747,GLUD1|2746,3.3
NSUN5P2|260294,NSUN5P1|155400,3.3
RPL37A|6168,RPL37|6167,3.3
RPL5|6125,RPL11|6135,3.3
RPS11|6205,RPL13A|23521,3.3
RPS19|6223,RPS16|6217,3.3
RPS3|6188,EEF1G|1937,3.3
ZNF234|10780,ZNF225|7768,3.3
ZNF585B|92285,ZNF585A|199704,3.3
HLA-DPB1|3115,HLA-DPA1|3113,3.2
HLA-DRA|3122,HLA-DPB1|3115,3.2
MVK|4598,MMAB|326625,3.2
RPL32|6161,RPL29|6159,3.2
RPS13|6207,RPL27A|6157,3.2
RPS19|6223,RPS11|6205,3.2
RPS4X|6191,RPS15A|6210,3.2
RPS8|6202,RPL22|6146,3.2
SHARPIN|81858,MAF1|84232,3.2
ZNF324B|388569,ZNF324|25799,3.2
EIF3H|8667,EIF3E|3646,3.1
GIMAP4|55303,GIMAP1|170575,3.1
HLA-DRA|3122,HLA-DOA|3111,3.1
PABPC1|26986,EIF3H|8667,3.1
ROBO4|54538,ESAM|90952,3.1
RPL22|6146,RPL11|6135,3.1
RPL32|6161,RPL15|6138,3.1
RPL8|6132,EEF1D|1936,3.1
RPS16|6217,FBL|2091,3.1
RPS19|6223,RPL18|6141,3.1
SCAF1|58506,IRF2BP1|26145,3.1
SUMF2|25870,CHCHD2|51142,3.1
TAP1|6890,PSMB8|5696,3.1
TRIM16L|147166,TRIM16|10626,3.1
TSPAN31|6302,CDK4|1019,3.1
ZC3H11A|9877,MDM4|4194,3.1
ZNF529|57711,ZNF461|92283,3.1
ZNF7|7553,ZNF251|90987,3.1
CLK4|57396,CLK1|1195,3.0
GIMAP8|155038,GIMAP6|474344,3.0
HLA-DPA1|3113,CD74|972,3.0
HLA-DRA|3122,HLA-DPA1|3113,3.0
RPL29|6159,RPL14|9045,3.0
RPL29|6159,RPL24|6152,3.0
RPL32|6161,RPL14|9045,3.0
RPL37|6167,RPL32|6161,3.0
RPL7A|6130,EEF1G|1937,3.0
RPL7A|6130,RPL12|6136,3.0
RPLP2|6181,RPL27A|6157,3.0
RPS3|6188,RPL19|6143,3.0
RPS7|6201,RPL32|6161,3.0
SPEN|23013,ARID1A|8289,3.0
TAP2|6891,TAP1|6890,3.0
TPI1|7167,GAPDH|2597,3.0
TSFM|10102,METTL1|4234,3.0
UBE2M|9040,EPN1|29924,3.0
ZMYND15|84225,CXCL16|58191,3.0
ZNF566|84924,ZNF529|57711,3.0
ZNF569|148266,ZNF527|84503,3.0
ZNF805|390980,ZNF264|9422,3.0
AGAP6|414189,AGAP4|119016,2.9
EIF5AL1|143244,EIF5A|1984,2.9
ERG|2078,CDH5|1003,2.9
ISG15|9636,IFI6|2537,2.9
MAF1|84232,HSF1|3297,2.9
OS9|10956,DTX3|196403,2.9
RAB18|22931,ACBD5|91452,2.9
RPL19|6143,FAU|2197,2.9
RPL35A|6165,RPL24|6152,2.9
RPL4|6124,RPL3|6122,2.9
RPS10|6204,RPL32|6161,2.9
RPS20|6224,RPL30|6156,2.9
RPS3|6188,RPS15A|6210,2.9
RPS4X|6191,RPL32|6161,2.9
RPS4X|6191,RPS24|6229,2.9
RPS5|6193,RPS11|6205,2.9
TSPAN31|6302,TSFM|10102,2.9
VPS13B|157680,UBR5|51366,2.9
WDFY4|57705,DOCK2|1794,2.9
ZNF587|84914,ZNF417|147687,2.9
ABCG2|9429,ABCB1|5243,2.8
BTN3A3|10384,BTN3A1|11119,2.8
CEMP1|752014,AMDHD2|51005,2.8
GGTLC2|91227,GGT1|2678,2.8
GIMAP6|474344,GIMAP4|55303,2.8
GIMAP7|168537,GIMAP6|474344,2.8
HLA-DMA|3108,CD74|972,2.8
HSPA1B|3304,HSPA1A|3303,2.8
LAPTM5|7805,HAVCR2|84868,2.8
MAP1LC3B2|643246,MAP1LC3B|81631,2.8
MRPL51|51258,EMG1|10436,2.8
NAA15|80155,ABCE1|6059,2.8
NDUFB3|4709,NDUFA1|4694,2.8
PBRM1|55193,DCP1A|55802,2.8
RGPD4|285190,RGPD3|653489,2.8
RIPK2|8767,OSGIN2|734,2.8
RPL28|6158,RPL18|6141,2.8
RPL32|6161,RPL19|6143,2.8
RPL37A|6168,RPL32|6161,2.8
RPL38|6169,RPL37A|6168,2.8
RPL6|6128,NACA|4666,2.8
RPS15A|6210,RPL19|6143,2.8
RPS16|6217,RPL18|6141,2.8
RPS25|6230,RPS13|6207,2.8
RPS27A|6233,RPL37A|6168,2.8
RPS3|6188,FAU|2197,2.8
RPS3|6188,RPL10|6134,2.8
RPS3|6188,RPL3|6122,2.8
RPS3|6188,RPS18|6222,2.8
RPS5|6193,RPL13A|23521,2.8
RUVBL2|10856,PRMT1|3276,2.8
SNRNP70|6625,LENG8|114823,2.8
TCEAL4|79921,TCEAL3|85012,2.8
TGFBRAP1|9392,GNA11|2767,2.8
TUBB2B|347733,TUBB2A|7280,2.8
UBA52|7311,RPL18A|6142,2.8
USP5|8078,MLF2|8079,2.8
ZC3H3|23144,HSF1|3297,2.8
ZNF304|57343,ZNF134|7693,2.8
ZNF384|171017,PHC1|1911,2.8
ZNF566|84924,ZFP30|22835,2.8
ZNF566|84924,ZNF260|339324,2.8
ZNF777|27153,ZNF282|8427,2.8
ZNF787|126208,ZNF579|163033,2.8
CNOT2|4848,CCT2|10576,2.7
ESAM|90952,CDH5|1003,2.7
HLA-DMB|3109,HLA-DMA|3108,2.7
HLA-DPB1|3115,CD74|972,2.7
HLA-DPB1|3115,HLA-DMA|3108,2.7
HMGCS1|3157,HMGCR|3156,2.7
MFSD2B|388931,HMGA1|3159,2.7
NCOA2|10499,AKAP10|11216,2.7
NDUFB7|4713,NDUFA13|51079,2.7
OLIG2|10215,OLIG1|116448,2.7
OR8K5|219453,OR5F1|338674,2.7
PABPC1|26986,EIF3E|3646,2.7
PARP9|83666,PARP14|54625,2.7
PPAT|5471,PAICS|10606,2.7
PPP1R15B|84919,MDM4|4194,2.7
PSME2|5721,PSME1|5720,2.7
RASAL3|64926,DEF6|50619,2.7
RPL27A|6157,EIF3F|8665,2.7
RPL7A|6130,RPL32|6161,2.7
RPLP2|6181,EIF3F|8665,2.7
RPS10|6204,RPL22|6146,2.7
RPS10|6204,RPL26|6154,2.7
RPS16|6217,RPL11|6135,2.7
RPS3|6188,RPL13|6137,2.7
RPS3A|6189,RPL34|6164,2.7
RPS5|6193,RPL18|6141,2.7
RPS9|6203,RPL13A|23521,2.7
SHARPIN|81858,HSF1|3297,2.7
SHARPIN|81858,PUF60|22827,2.7
SMG1|23049,BIRC6|57448,2.7
SPI1|6688,FERMT3|83706,2.7
SUPT16H|11198,PRMT5|10419,2.7
TATDN1|83940,EIF3H|8667,2.7
TPP2|7174,BIVM|54841,2.7
TYROBP|7305,LAPTM5|7805,2.7
UBE2H|7328,KLHDC10|23008,2.7
USP38|84640,SMARCA5|8467,2.7
YARS|8565,SARS|6301,2.7
ZC3H3|23144,TIGD5|84948,2.7
ZNF260|339324,ZNF146|7705,2.7
ZNF34|80778,ZNF250|58500,2.7
ZNF442|79973,ZNF433|163059,2.7
ZNHIT1|10467,POLR2J|5439,2.7
DICER1|23405,BTBD7|55727,2.6
ESAM|90952,ACVRL1|94,2.6
EXOSC4|54512,COMMD5|28991,2.6
FAU|2197,AIP|9049,2.6
GIMAP8|155038,GIMAP4|55303,2.6
LAPTM5|7805,CD53|963,2.6
LATS1|9113,ARID1B|57492,2.6
MAF1|84232,CYHR1|50626,2.6
MIB2|142678,DVL1|1855,2.6
MMRN2|79812,CDH5|1003,2.6
NDUFA1|4694,COX7C|1350,2.6
NEDD8|4738,CHMP4A|29082,2.6
PABPC3|5042,PABPC1|26986,2.6
POP7|10248,ALKBH4|54784,2.6
PSPH|5723,CCT6A|908,2.6
RALGAPA1|253959,HECTD1|25831,2.6
RPL19|6143,RPL18A|6142,2.6
RPL32|6161,RPL23A|6147,2.6
RPL32|6161,RPL30|6156,2.6
RPL38|6169,RPL37|6167,2.6
RPL7A|6130,RPL35|11224,2.6
RPL7A|6130,RPL5|6125,2.6
RPS10|6204,RPL37|6167,2.6
RPS10|6204,RPL37A|6168,2.6
RPS15A|6210,EEF1G|1937,2.6
RPS15A|6210,RPL37|6167,2.6
RPS19|6223,FBL|2091,2.6
RPS23|6228,RPL4|6124,2.6
RPS24|6229,RPL19|6143,2.6
RPS3|6188,RPL7A|6130,2.6
RPS4X|6191,RPL10|6134,2.6
RPS4X|6191,RPS14|6208,2.6
RPS8|6202,RPL18|6141,2.6
RPS8|6202,RPL7A|6130,2.6
RPS8|6202,RPS2|6187,2.6
RUVBL2|10856,NOSIP|51070,2.6
SRCAP|10847,CREBBP|1387,2.6
TAF2|6873,PHF20L1|51105,2.6
TIMM13|26517,PLEKHJ1|55111,2.6
UBXN1|51035,FAU|2197,2.6
VPS28|51160,COMMD5|28991,2.6
VPS28|51160,MAF1|84232,2.6
YEATS4|8089,CCT2|10576,2.6
ZGPAT|84619,RTEL1|51750,2.6
ZMYM1|79830,PKN2|5586,2.6
ZNF12|7559,RBAK|57786,2.6
ZNF282|8427,ZNF212|7988,2.6
ZNF34|80778,ZNF16|7564,2.6
ZNF566|84924,ZFP14|57677,2.6
ZNF566|84924,ZNF146|7705,2.6
ZNF569|148266,ZNF420|147923,2.6
ZNF574|64763,ZNF526|116115,2.6
ZNF671|79891,ZNF416|55659,2.6
ZNF689|115509,TGFBRAP1|9392,2.6
ZNF799|90576,ZNF443|10224,2.6
ZNF84|7637,ZNF10|7556,2.6
ZNF85|7639,ZNF43|7594,2.6
ZZZ3|26009,PKN2|5586,2.6
ZZZ3|26009,ZNF644|84146,2.6
EIF3L|51386,EIF3D|8664,2.5
FAM72D|728833,FAM72B|653820,2.5
GIMAP6|474344,GIMAP1|170575,2.5
GMFG|9535,ARHGDIB|397,2.5
GTPBP4|23560,CDC123|8872,2.5
HAVCR2|84868,CD53|963,2.5
HERC2|8924,HERC1|8925,2.5
HLA-DRA|3122,HLA-DMA|3108,2.5
HLA-H|3136,HLA-A|3105,2.5
HMGB1|3146,EXOSC8|11340,2.5
HSPBP1|23640,EPN1|29924,2.5
IFIT3|3437,IFIT1|3434,2.5
LY86|9450,AIF1|199,2.5
LY86|9450,LAPTM5|7805,2.5
MMRN2|79812,ACVRL1|94,2.5
MYCT1|80177,ERG|2078,2.5
NAPA|8775,AP2S1|1175,2.5
NAT14|57106,HSPBP1|23640,2.5
NSDHL|50814,FDPS|2224,2.5
PEX1|5189,KRIT1|889,2.5
PPIB|5479,PDIA3|2923,2.5
PPP2R5E|5529,EIF2S1|1965,2.5
RABL2B|11158,RABL2A|11159,2.5
RANBP6|26953,CDC37L1|55664,2.5
ROBO4|54538,ACVRL1|94,2.5
RPL23|9349,EEF1G|1937,2.5
RPL3|6122,RPL10|6134,2.5
RPL32|6161,RPL24|6152,2.5
RPL32|6161,RPL26|6154,2.5
RPL37A|6168,RPL26|6154,2.5
RPL7|6129,EIF3E|3646,2.5
RPS10|6204,RPL11|6135,2.5
RPS10|6204,RPL38|6169,2.5
RPS10|6204,RPL7A|6130,2.5
RPS15|6209,RPL13|6137,2.5
RPS15A|6210,RPL38|6169,2.5
RPS16|6217,RPS11|6205,2.5
RPS18|6222,EEF1G|1937,2.5
