Gene1,Gene2,Aag_Edge_Weight
UQCRHL|440567,UQCRH|7388,5.1
COL4A2|1284,COL4A1|1282,4.8
C1QB|713,C1QA|712,4.6
C1QC|714,C1QB|713,4.6
NLRP8|126205,NLRP13|126204,4.5
NKX2-6|137814,FRG2|448831,4.3
ANXA2P2|304,ANXA2|302,4.1
MAP1LC3B2|643246,MAP1LC3B|81631,4.1
DHRS4L2|317749,DHRS4|10901,3.9
POM121C|100101267,POM121|9883,3.9
HLA-DPB1|3115,HLA-DPA1|3113,3.8
HTN3|3347,HTN1|3346,3.8
OR4X2|119764,OR4A47|403253,3.8
DAZ3|57054,DAZ2|57055,3.7
HNRNPA1L2|144983,HNRNPA1|3178,3.7
HTR1A|3350,FEZF2|55079,3.6
SPRR2G|6706,SPRR2B|6701,3.6
TMEM176B|28959,TMEM176A|55365,3.6
GGTLC2|91227,GGT1|2678,3.5
MYL12B|103910,MYL12A|10627,3.5
PSME2|5721,PSME1|5720,3.5
RPL32|6161,RPL15|6138,3.5
UNCX|340260,DBX2|440097,3.5
C1QC|714,C1QA|712,3.4
RPL23|9349,RPL19|6143,3.4
RPS11|6205,RPL18|6141,3.4
DDTL|100037417,DDT|1652,3.3
NAA15|80155,ABCE1|6059,3.3
NSUN5P2|260294,NSUN5P1|155400,3.3
RPS18|6222,RPS10|6204,3.3
TMEM14C|51522,TMEM14B|81853,3.3
CTAGE9|643854,CTAGE4|100128553,3.2
FGG|2266,FGA|2243,3.2
HLA-DRA|3122,HLA-DMB|3109,3.2
NKX2-6|137814,CACNG7|59284,3.1
PSMD4|5710,PSMB4|5692,3.1
RNASEK|440400,GABARAP|11337,3.1
RPS11|6205,RPL13A|23521,3.1
RPS8|6202,RPL5|6125,3.1
SPRR2G|6706,SPRR2E|6704,3.1
YTHDF3|253943,VCPIP1|80124,3.1
ZNF799|90576,ZNF443|10224,3.1
FEZF2|55079,CCKAR|886,3.0
NMUR2|56923,DBX2|440097,3.0
RPL32|6161,RPL14|9045,3.0
RPL32|6161,RPL29|6159,3.0
RPL7A|6130,RPL35|11224,3.0
RPLP2|6181,RPL27A|6157,3.0
SPRR2B|6701,LCE3D|84648,3.0
SPRR2G|6706,LCE3D|84648,3.0
AGAP6|414189,AGAP4|119016,2.9
MRPL20|55052,AURKAIP1|54998,2.9
NKX6-3|157848,FEZF2|55079,2.9
RPL8|6132,EEF1D|1936,2.9
VPS28|51160,SHARPIN|81858,2.9
VPS72|6944,SCNM1|79005,2.9
COL1A2|1278,COL1A1|1277,2.8
DBX2|440097,CHAT|1103,2.8
PUF60|22827,COMMD5|28991,2.8
RPL15|6138,RPL14|9045,2.8
RPL18|6141,RPL13A|23521,2.8
RPL28|6158,RPL18|6141,2.8
RPS15|6209,RPL36|25873,2.8
RPS16|6217,FBL|2091,2.8
RPS19|6223,RPL18|6141,2.8
RPS9|6203,RPL18|6141,2.8
SHARPIN|81858,MAF1|84232,2.8
TROVE2|6738,CDC73|79577,2.8
UQCRB|7381,COX6C|1345,2.8
VPS28|51160,PUF60|22827,2.8
COL5A1|1289,COL1A1|1277,2.7
ESAM|90952,CLEC14A|161198,2.7
EVI2B|2124,CD53|963,2.7
KCNA1|3736,ELSPBP1|64100,2.7
PCID2|55795,CUL4A|8451,2.7
RPLP0|6175,RPL6|6128,2.7
RPS13|6207,RPL27A|6157,2.7
RPS3|6188,EEF1G|1937,2.7
SHARPIN|81858,COMMD5|28991,2.7
SSU72|29101,AURKAIP1|54998,2.7
SUPT16H|11198,CHD8|57680,2.7
TCP1|6950,MRPL18|29074,2.7
UPF3A|65110,PCID2|55795,2.7
ZNF45|7596,ZNF227|7770,2.7
ACOT2|10965,ACOT1|641371,2.6
CTRB2|440387,CTRB1|1504,2.6
EIF3H|8667,EIF3E|3646,2.6
GDI1|2664,ATP6AP1|537,2.6
MYCT1|80177,CYYR1|116159,2.6
NDUFA1|4694,COX7B|1349,2.6
NDUFB9|4715,COX6C|1345,2.6
NHP2|55651,DDX41|51428,2.6
OR4F5|79501,OR4F4|26682,2.6
PLSCR5|389158,PLA2G2E|30814,2.6
PRLH|51052,NXNL1|115861,2.6
PSMB6|5694,PFN1|5216,2.6
RPS13|6207,EIF3F|8665,2.6
SCNM1|79005,PSMD4|5710,2.6
SETD1A|9739,FBRS|64319,2.6
VPS72|6944,PSMD4|5710,2.6
VPS72|6944,SETDB1|9869,2.6
VPS72|6944,SF3B4|10262,2.6
XRCC6|2547,ADSL|158,2.6
ZZZ3|26009,USP33|23032,2.6
CCT7|10574,CCT4|10575,2.5
