Gene1,Gene2,Aag_Edge_Weight
ANXA2P2|304,ANXA2|302,5.7
UQCRHL|440567,UQCRH|7388,5.0
HNRNPA1L2|144983,HNRNPA1|3178,4.9
COL4A2|1284,COL4A1|1282,4.7
EIF5AL1|143244,EIF5A|1984,4.6
C1QB|713,C1QA|712,4.5
POM121C|100101267,POM121|9883,4.5
TMEM176B|28959,TMEM176A|55365,4.3
C1QC|714,C1QB|713,4.1
CTAGE9|643854,CTAGE4|100128553,4.1
DHRS4L2|317749,DHRS4|10901,3.8
HLA-DPB1|3115,HLA-DPA1|3113,3.8
MAP1LC3B2|643246,MAP1LC3B|81631,3.8
PARP9|83666,DTX3L|151636,3.7
TCEAL6|158931,TCEAL3|85012,3.7
ACOT2|10965,ACOT1|641371,3.6
GK3P|2713,GK|2710,3.6
MYL12B|103910,MYL12A|10627,3.6
FCGR1B|2210,FCGR1A|2209,3.5
GGTLC2|91227,GGT1|2678,3.5
HSPA1B|3304,HSPA1A|3303,3.5
NUDT5|11164,CDC123|8872,3.5
MBD1|4152,CXXC1|30827,3.4
NSUN5P2|260294,NSUN5P1|155400,3.4
RPS11|6205,RPL18|6141,3.4
ZNF468|90333,ZNF28|7576,3.4
HLA-DRA|3122,HLA-DPA1|3113,3.3
HLA-DRA|3122,HLA-DPB1|3115,3.3
MED1|5469,CDK12|51755,3.3
PSMD4|5710,PSMB4|5692,3.3
RPL32|6161,RPL14|9045,3.3
SAFB2|9667,SAFB|6294,3.3
TMEM14C|51522,TMEM14B|81853,3.3
KRT8|3856,KRT18|3875,3.2
MRPS17|51373,CCT6A|908,3.2
NCKAP1L|3071,LAPTM5|7805,3.2
RPL32|6161,RPL15|6138,3.2
ZNF302|55900,ZNF181|339318,3.2
C1QC|714,C1QA|712,3.1
GIMAP5|55340,GIMAP4|55303,3.1
HLA-DRA|3122,HLA-DMB|3109,3.1
IFIT3|3437,IFIT2|3433,3.1
LCE2C|353140,CRISP1|167,3.1
NAA15|80155,ABCE1|6059,3.1
POP4|10775,C19orf12|83636,3.1
RAD1|5810,DNAJC21|134218,3.1
RPL18|6141,RPL13A|23521,3.1
RPL29|6159,RPL14|9045,3.1
RPS11|6205,RPL13A|23521,3.1
UPF3A|65110,CDC16|8881,3.1
C19orf47|126526,AKT2|208,3.0
GIMAP6|474344,GIMAP4|55303,3.0
GIMAP7|168537,GIMAP4|55303,3.0
LSM1|27257,BRF2|55290,3.0
MAF1|84232,HSF1|3297,3.0
MFSD2B|388931,HMGA1|3159,3.0
NDUFS6|4726,MRPL36|64979,3.0
PDCD11|22984,NOLC1|9221,3.0
POLDIP2|26073,ERAL1|26284,3.0
PSME2|5721,PSME1|5720,3.0
RASAL3|64926,ACAP1|9744,3.0
RGPD4|285190,RGPD3|653489,3.0
RPL15|6138,RPL14|9045,3.0
RPL32|6161,RPL29|6159,3.0
RPS15|6209,RPL36|25873,3.0
SCNM1|79005,PSMB4|5692,3.0
SETD1A|9739,FBRS|64319,3.0
TBRG4|9238,DDX56|54606,3.0
UBE2J2|118424,AURKAIP1|54998,3.0
AGAP6|414189,AGAP4|119016,2.9
COL5A1|1289,COL1A2|1278,2.9
COL6A2|1292,COL6A1|1291,2.9
DRG2|1819,ATPAF2|91647,2.9
FAM72D|728833,FAM72B|653820,2.9
FCGR2C|9103,FCGR2B|2213,2.9
GIMAP7|168537,GIMAP5|55340,2.9
HAVCR2|84868,CD86|942,2.9
LAPTM5|7805,HAVCR2|84868,2.9
LEPROTL1|23484,DCTN6|10671,2.9
LST1|7940,AIF1|199,2.9
MIER3|166968,GPBP1|65056,2.9
MRPL51|51258,EMG1|10436,2.9
NDUFB7|4713,NDUFA11|126328,2.9
NEDD8|4738,DAD1|1603,2.9
NOC2L|26155,ATAD3A|55210,2.9
NUBP2|10101,MLST8|64223,2.9
RAD1|5810,BRIX1|55299,2.9
RPL29|6159,RPL15|6138,2.9
RPL7A|6130,RPL12|6136,2.9
RPL7A|6130,RPL35|11224,2.9
RPS13|6207,RPL27A|6157,2.9
RSC1A1|6248,DDI2|84301,2.9
SCAF1|58506,PRR12|57479,2.9
