Gene1,Gene2,Aag_Edge_Weight
ANXA2P2|304,ANXA2|302,6.4
UQCRHL|440567,UQCRH|7388,5.2
C1QB|713,C1QA|712,4.9
C1QC|714,C1QB|713,4.9
HNRNPA1L2|144983,HNRNPA1|3178,4.7
DHRS4L2|317749,DHRS4|10901,4.5
EIF5AL1|143244,EIF5A|1984,4.5
POM121C|100101267,POM121|9883,4.5
TMEM176B|28959,TMEM176A|55365,4.5
MAP1LC3B2|643246,MAP1LC3B|81631,4.4
NUDT5|11164,CDC123|8872,4.2
COL1A2|1278,COL1A1|1277,4.1
CTAGE9|643854,CTAGE4|100128553,4.1
GLUD2|2747,GLUD1|2746,4.1
PSME2|5721,PSME1|5720,4.0
PAF1|54623,MED29|55588,3.9
RPL32|6161,RPL15|6138,3.8
TCEAL6|158931,TCEAL3|85012,3.8
C1QC|714,C1QA|712,3.7
HLA-DPB1|3115,HLA-DPA1|3113,3.7
PABPC3|5042,PABPC1|26986,3.7
PARP9|83666,DTX3L|151636,3.7
RPS11|6205,RPL13A|23521,3.7
RSC1A1|6248,DDI2|84301,3.7
GK3P|2713,GK|2710,3.6
RPL23|9349,RPL19|6143,3.6
COL6A2|1292,COL6A1|1291,3.5
MAEA|10296,CTBP1|1487,3.5
MYL12B|103910,MYL12A|10627,3.5
POLR2C|5432,CIAPIN1|57019,3.5
RPS18|6222,RPS10|6204,3.5
SUPT16H|11198,CHD8|57680,3.5
HLA-DPB1|3115,CD74|972,3.4
HLA-DRA|3122,HLA-DPA1|3113,3.4
NEUROD6|63974,HIST1H2BA|255626,3.4
PSMA1|5682,COPB1|1315,3.4
RGPD4|285190,RGPD3|653489,3.4
RPS11|6205,RPL18|6141,3.4
PPAT|5471,PAICS|10606,3.3
TPI1|7167,GAPDH|2597,3.3
C19orf47|126526,AKT2|208,3.2
FAM72D|728833,FAM72B|653820,3.2
GGTLC2|91227,GGT1|2678,3.2
HLA-DRA|3122,HLA-DMB|3109,3.2
KIF2C|11004,CDC20|991,3.2
MED1|5469,CDK12|51755,3.2
MRFAP1L1|114932,MRFAP1|93621,3.2
NSUN5P2|260294,NSUN5P1|155400,3.2
PCID2|55795,CUL4A|8451,3.2
POLDIP2|26073,ERAL1|26284,3.2
PSMD4|5710,PSMB4|5692,3.2
SAFB2|9667,SAFB|6294,3.2
TBRG4|9238,DDX56|54606,3.2
ZNF574|64763,ZNF526|116115,3.2
ZNF654|55279,CGGBP1|8545,3.2
EIF5AL1|143244,EIF4A1|1973,3.1
FCGR2C|9103,FCGR2B|2213,3.1
HLA-DRA|3122,HLA-DPB1|3115,3.1
MBD1|4152,CXXC1|30827,3.1
MRPS17|51373,CCT6A|908,3.1
PSMA2|5683,MRPL32|64983,3.1
PSMA2|5683,PPIA|5478,3.1
RAD1|5810,BRIX1|55299,3.1
RAD1|5810,DNAJC21|134218,3.1
RPL18|6141,RPL13A|23521,3.1
SCAF1|58506,PRR12|57479,3.1
SHARPIN|81858,HSF1|3297,3.1
STK25|10494,ATG4B|23192,3.1
SUPT4H1|6827,MRPS23|51649,3.1
