Gene1,Gene2,Avg_Edge_Weight,NumberOfCancerType
UQCRHL|440567,UQCRH|7388,5.0,15
ANXA2P2|304,ANXA2|302,5.1,15
EIF5AL1|143244,EIF5A|1984,4.199999999999999,14
C1QB|713,C1QA|712,4.6,15
C1QC|714,C1QB|713,4.6,15
CTAGE9|643854,CTAGE4|100128553,4.05,14
PSMD4|5710,PSMB4|5692,3.0,13
COL4A2|1284,COL4A1|1282,4.3,14
MFSD2B|388931,HMGA1|3159,2.95,12
HNRNPA1L2|144983,HNRNPA1|3178,3.7,14
POM121C|100101267,POM121|9883,3.9,15
DHRS4L2|317749,DHRS4|10901,3.8,15
MAP1LC3B2|643246,MAP1LC3B|81631,3.6,14
TCEAL6|158931,TCEAL3|85012,3.4000000000000004,12
TMEM176B|28959,TMEM176A|55365,4.1,15
NSUN5P2|260294,NSUN5P1|155400,3.3,15
C1QC|714,C1QA|712,3.5,15
NUDT5|11164,CDC123|8872,2.95,14
RPS11|6205,RPL13A|23521,3.2,14
PSME2|5721,PSME1|5720,3.1,15
RPLP2|6181,RPL27A|6157,2.9,14
RAD1|5810,DNAJC21|134218,3.0,9
RPS15|6209,RPL36|25873,2.6,13
RPS18|6222,RPS10|6204,2.8,11
SCNM1|79005,PSMD4|5710,2.5,11
SDHC|6391,NDUFS2|4720,1.85,8
VPS72|6944,PSMD4|5710,2.45,10
FAM72D|728833,FAM72B|653820,2.9,12
GIMAP5|55340,GIMAP4|55303,2.6,13
PABPC3|5042,PABPC1|26986,2.6500000000000004,14
ZNF12|7559,RBAK|57786,2.6,13
ZNF468|90333,ZNF28|7576,2.8,12
AGAP6|414189,AGAP4|119016,2.9,13
CGGBP1|8545,C3orf38|285237,2.3,11
HSPE1|3336,HSPD1|3329,2.5,12
PCID2|55795,CUL4A|8451,2.75,12
RGPD4|285190,RGPD3|653489,2.8,14
RPL23|9349,RPL19|6143,3.0,13
RPS11|6205,RPL18|6141,3.1,15
SCNM1|79005,PSMB4|5692,2.05,10
SLC25A32|81034,DCAF13|25879,2.3,11
TFIP11|24144,SRRD|402055,2.5,11
MBD1|4152,CXXC1|30827,3.0,11
PUF60|22827,HSF1|3297,2.6,9
TMEM14C|51522,TMEM14B|81853,3.1,13
TROVE2|6738,CDC73|79577,2.4,13
UBE2M|9040,TRIM28|10155,2.2,8
VPS72|6944,SCNM1|79005,2.6,11
ACOT2|10965,ACOT1|641371,3.2,14
MED1|5469,CDK12|51755,2.55,12
MTMR14|64419,ARPC4|10093,2.25,8
MYL12B|103910,MYL12A|10627,3.4,13
NAA15|80155,ABCE1|6059,2.8,13
NUBP2|10101,MRPS34|65993,2.3,11
PES1|23481,DRG1|4733,2.0,9
PUF60|22827,EXOSC4|54512,2.4,14
RAD1|5810,BRIX1|55299,2.5,9
RNASEK|440400,GABARAP|11337,2.3,13
RPL7A|6130,RPL35|11224,2.6,15
SHARPIN|81858,HSF1|3297,2.6500000000000004,14
THOC7|80145,PSMD6|9861,2.25,10
TIMM50|92609,PAF1|54623,1.9500000000000002,8
UBA1|7317,CDK16|5127,2.6,10
UBA52|7311,RPL18A|6142,2.3499999999999996,12
VPS37A|137492,CNOT7|29883,2.9,13
ZC3H3|23144,HSF1|3297,2.6,13
ZNF799|90576,ZNF443|10224,2.9,15
HLA-H|3136,HLA-A|3105,2.5,14
LSM1|27257,ASH2L|9070,2.6,11
MRPS18A|55168,MAD2L1BP|9587,2.25,10
NDUFS6|4726,MRPL36|64979,2.4,12
PARP9|83666,DTX3L|151636,3.3499999999999996,14
PCMT1|5110,KATNA1|11104,2.0,10
PGAM4|441531,PGAM1|5223,2.3,12
PPAT|5471,PAICS|10606,2.6,14
PPP2CB|5516,DCTN6|10671,2.2,13
PRPF4|9128,POLE3|54107,2.2,9
SENP3|26168,FXR2|9513,2.1500000000000004,8
SGTA|6449,NCLN|56926,1.85,8
SSNA1|8636,EDF1|8721,2.3,13
TADA3|10474,MTMR14|64419,1.9,9
TBC1D10B|26000,CD2BP2|10421,2.05,10
UBA2|10054,LSM14A|26065,2.3,11
UBE2K|3093,TMEM33|55161,2.5,9
USP19|10869,RNF123|63891,2.25,8
USP38|84640,SMARCA5|8467,2.15,8
VPS29|51699,ARPC3|10094,2.1,10
ZNF654|55279,CGGBP1|8545,2.7,11
ZNF84|7637,ZNF140|7699,2.3,11
CLEC14A|161198,CD34|947,2.2,13
COL1A2|1278,COL1A1|1277,4.1,9
CXorf36|79742,CD34|947,2.5,11
DDTL|100037417,DDT|1652,2.3,13
EIF5AL1|143244,EIF4A1|1973,2.5,11
HLA-DRA|3122,HLA-DPA1|3113,2.8,13
INTS9|55756,CCDC25|55246,2.6,9
MRPL20|55052,AURKAIP1|54998,2.25,14
MRPS18A|55168,MRPL14|64928,2.45,10
MTRR|4552,FASTKD3|79072,2.1500000000000004,8
NDUFA1|4694,COX7B|1349,2.5,14
PAF1|54623,MED29|55588,2.7,9
PCNT|5116,MCM3AP|8888,2.2,11
POLR2C|5432,CIAPIN1|57019,2.4,9
RALY|22913,CHMP4B|128866,2.0,9
RPL18|6141,RPL13A|23521,2.75,14
RPLP1|6176,RPL4|6124,2.1,12
RPS13|6207,EIF3F|8665,2.3,11
RPS16|6217,FBL|2091,2.5,11
RTN4IP1|84816,QRSL1|55278,2.0,13
SUPT5H|6829,PAF1|54623,2.35,8
SUV39H2|79723,HSPA14|51182,2.6500000000000004,10
TBRG4|9238,DDX56|54606,2.4,11
TOX4|9878,CHD8|57680,2.2,8
TYROBP|7305,FCER1G|2207,2.7,12
UBE2J2|118424,AURKAIP1|54998,2.6500000000000004,12
UCHL5|51377,CDC73|79577,2.0,9
UXT|8409,NDUFB11|54539,2.3,11
VPS35|55737,DNAJA2|10294,2.4,9
VPS72|6944,PSMB4|5692,2.1500000000000004,8
YME1L1|10730,CUL2|8453,2.1,9
YTHDF3|253943,VCPIP1|80124,2.3,10
ZNHIT1|10467,POLR2J|5439,2.2,11
ZZZ3|26009,USP33|23032,2.3499999999999996,8
ARMCX6|54470,ARMCX3|51566,1.9,9
CD3E|916,CD2|914,2.7,14
COL3A1|1281,COL1A1|1277,2.6,13
KIF2C|11004,CDC20|991,2.55,10
MAEA|10296,GAK|2580,2.1,10
MAF1|84232,HSF1|3297,2.6500000000000004,14
MRPS7|51081,MRPL38|64978,2.3,11
NUFIP1|26747,GTF2F2|2963,2.3,9
PLVAP|83483,CD34|947,1.9,8
POLDIP2|26073,ERAL1|26284,2.45,10
PSMB4|5692,MRPL9|65005,2.1,9
PSMD4|5710,MRPL9|65005,1.9,11
PSMG2|56984,NDUFV2|4729,2.3499999999999996,12
R3HCC1|203069,CHMP7|91782,2.4,12
RAE1|8480,CSTF1|1477,2.0,9
RPL3|6122,EIF3L|51386,2.55,14
RPS13|6207,RPL27A|6157,2.6,15
SETD5|55209,BRPF1|7862,1.9,9
SMU1|55234,NFX1|4799,2.3,9
SUPT4H1|6827,MRPS23|51649,2.15,8
TAF9|6880,MRPS36|92259,2.2,11
TBCB|1155,POLR2I|5438,2.5,11
TERF2IP|54386,GABARAPL2|11345,2.1,8
TPI1|7167,GAPDH|2597,2.6,14
TUBGCP3|10426,CUL4A|8451,2.6,9
TUBGCP3|10426,TFDP1|7027,2.35,8
TYROBP|7305,SPI1|6688,2.5,15
USP9X|8239,MED14|9282,2.1,8
VPS72|6944,MRPL9|65005,2.5,10
XPO7|23039,CNOT7|29883,2.1,9
ZGPAT|84619,ARFGAP1|55738,2.25,12
ZNF282|8427,ZNF212|7988,2.45,12
ZNF706|51123,YWHAZ|7534,2.4,11
BTN3A3|10384,BTN3A1|11119,2.6,15
CDH5|1003,CD34|947,2.65,12
DNAJC21|134218,BRIX1|55299,2.25,8
EIF5A|1984,EIF4A1|1973,2.2,10
GIMAP7|168537,GIMAP4|55303,2.6,15
GON4L|54856,ASH1L|55870,2.1500000000000004,12
HADHB|3032,HADHA|3030,2.3499999999999996,12
KIF14|9928,ASPM|259266,2.4,10
LARP4B|23185,GTPBP4|23560,2.25,10
MAEA|10296,CTBP1|1487,2.55,10
MRPL51|51258,MLF2|8079,2.3499999999999996,10
NDUFB10|4716,MRPS34|65993,2.2,13
NDUFB8|4714,MRPL43|84545,2.1,11
NOL10|79954,CPSF3|51692,2.2,10
NPAT|4863,CUL5|8065,2.1,9
PIBF1|10464,DIS3|22894,2.5,9
PLAA|9373,IFT74|80173,2.1,9
PQLC1|80148,CTDP1|9150,2.4,8
PSMC3|5702,NDUFS3|4722,2.3,8
RPL15|6138,RPL14|9045,2.7,15
RPL7A|6130,RPL12|6136,2.9,14
SDHD|6392,DLAT|1737,2.3,9
SMU1|55234,APTX|54840,2.45,10
TADA3|10474,ARPC4|10093,2.1500000000000004,10
TBC1D3B|414059,TBC1D3|729873,2.4,11
TIE1|7075,CDH5|1003,2.5,11
TIE1|7075,CXorf36|79742,2.3,11
TIMM17B|10245,NDUFB11|54539,2.25,10
TOX4|9878,SUPT16H|11198,2.0,11
UBE2J2|118424,RER1|11079,2.1,11
VPS28|51160,SHARPIN|81858,2.1,14
YME1L1|10730,WAC|51322,2.5,9
ZNF397|84307,ZNF24|7572,2.3,8
ZNF408|79797,ARFGAP2|84364,1.9,9
ZNF45|7596,ZNF227|7770,2.5,13
ZNF574|64763,ZNF526|116115,2.55,12
CCT7|10574,CCT4|10575,2.3,11
DCAF13|25879,ATP6V1C1|528,1.75,8
KIF20B|9585,KIF11|3832,2.4,9
LEPROTL1|23484,DCTN6|10671,2.5,12
LRRC57|255252,HAUS2|55142,2.4,11
MRPS36|92259,CDK7|1022,2.1,11
MRPS7|51081,MRPL12|6182,2.05,8
NDUFB7|4713,GADD45GIP1|90480,2.2,13
NEDD8|4738,MRPL52|122704,2.1,13
NIPBL|25836,DNAJC21|134218,1.9,8
PDAP1|11333,ARPC1A|10552,2.0,8
POLR2I|5438,COX6B1|1340,2.1,10
PRPF31|26121,HSPBP1|23640,2.3,11
PRR14|78994,FBRS|64319,2.2,9
PSMB5|5693,DAD1|1603,2.05,10
PSMC5|5705,FTSJ3|117246,2.3,11
PUF60|22827,CYC1|1537,2.4,11
RBM42|79171,POLR2I|5438,1.9,8
RNF123|63891,PTPN23|25930,2.05,10
RPA1|6117,PRPF8|10594,2.2,10
RPL8|6132,EEF1D|1936,2.7,15
RPS9|6203,RPL13A|23521,2.4,15
RPSA|3921,RPL14|9045,2.3,10
SCNM1|79005,MRPL9|65005,2.0,12
SEH1L|81929,PTPN2|5771,2.3,10
SIRT7|51547,HGS|9146,2.05,10
STUB1|10273,MRPL28|10573,1.95,10
SUPT16H|11198,CHD8|57680,2.4,11
TMEM68|137695,TCEA1|6917,2.1,11
TNRC6A|27327,RBBP6|5930,2.1500000000000004,8
TOMM22|56993,POLR2F|5435,2.1500000000000004,8
TXN2|25828,EIF3D|8664,2.3,8
TYROBP|7305,C1QB|713,1.95,10
VDAC3|7419,GOLGA7|51125,2.2,8
XRCC6|2547,PHF5A|84844,2.2,9
